dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.278981
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.777743
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.789659
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.778611
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.819462
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.793220
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.796660
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.775269
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.772959
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.791419
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.767548
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.789472
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.768803
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.780017
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.777573
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.792685
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.769781
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.800869
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.770398
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.771532
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       6.431467
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       6.264945
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       6.241785
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       6.321279
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       6.241757
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       6.453302
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,6,       6.300166
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,7,       6.563715
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       6.460914
