dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.367878
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.610656
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.618886
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.626261
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.615555
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.612136
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.604082
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.605217
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.620192
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.607427
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.614173
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.602890
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.616518
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.607409
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.616988
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.625927
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.603240
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.617248
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.623635
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.619490
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       6.501774
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       6.343471
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       6.220492
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       6.165791
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       6.014965
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       6.124242
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,6,       6.101030
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,7,       6.170098
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       6.091401
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,9,       6.080604
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,10,       6.241699
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,11,       6.221864
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,12,       6.309215
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,13,       6.353788
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,14,       6.137281
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,15,       6.337543
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,16,       7.029338
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,17,       6.072934
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,18,       6.004285
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,19,       6.271084
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,0,      30.556676
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,1,      28.692058
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,2,      28.479240
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,3,      29.394784
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,4,      29.964353
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,5,      28.418851
