dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,0,       1.344673
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,1,       0.561763
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,2,       0.565060
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,3,       0.540730
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,4,       0.559252
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,5,       0.552478
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,6,       0.544922
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,7,       0.560994
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,8,       0.554767
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,9,       0.548209
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,10,       0.560648
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,11,       0.551334
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,12,       0.578977
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,13,       0.573414
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,14,       0.546463
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,15,       0.562332
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,16,       0.552676
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,17,       0.556537
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,18,       0.566482
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,19,       0.546512
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,0,       6.109613
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,1,       5.781214
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,2,       5.821111
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,3,       5.791190
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,4,       5.802457
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,5,       5.786577
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,6,       5.807706
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,7,       5.775118
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,8,       5.778005
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,9,       5.774364
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,10,       5.784998
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,11,       5.769465
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,12,       5.799567
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,13,       5.776755
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,14,       5.758130
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,15,       5.799702
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,16,       5.805891
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,17,       5.754855
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,18,       5.780656
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,19,       5.801125
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,0,      24.730738
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,1,      24.512354
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,2,      24.411210
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,3,      24.331546
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,4,      24.337882
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,5,      24.458026
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,6,      24.712676
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,7,      23.576145
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,8,      24.373455
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,9,      23.588146
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,10,      24.650975
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,11,      24.445536
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,12,      24.449745
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,13,      24.275356
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,14,      23.552538
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,15,      23.811075
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,16,      24.634488
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,17,      24.563633
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,18,      24.478818
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,19,      24.614447
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,0,      78.638737
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,1,      77.340454
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,2,      74.610453
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,3,      73.795186
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,4,      74.607760
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,5,      78.590478
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,6,      75.661928
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,7,      73.268648
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,8,      75.901761
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,9,      76.626954
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,10,      75.683445
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,11,      75.666283
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,12,      76.113146
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,13,      75.752900
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,14,      79.337922
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,15,      76.669998
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,16,      74.646151
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,17,      78.063946
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,18,      78.073569
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,19,      76.106184
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,0,     124.965839
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,1,     125.612133
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,2,     125.591292
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,3,     123.241695
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,4,     126.823939
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,5,     126.297269
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,6,     125.444600
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,7,     126.837994
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,8,     125.238273
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,9,     140.614411
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,10,     125.432262
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,11,     125.577281
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,12,     126.322657
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,13,     125.551985
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,14,     124.973925
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,15,     125.016066
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,16,     125.786789
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,17,     124.977822
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,18,     124.656420
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,19,     125.420733
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,0,     268.536402
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,1,     267.799955
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,2,     264.343819
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,3,     266.754315
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,4,     263.549546
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,5,     268.643445
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,6,     268.703152
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,7,     268.835476
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,8,     269.187876
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,9,     267.453733
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,10,     272.227462
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,11,     273.578886
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,12,     268.599208
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,13,     265.261478
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,14,     263.266763
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,15,     275.051335
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,16,     269.586775
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,17,     268.163734
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,18,     270.714652
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,19,     263.095076
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,0,     426.911730
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,1,     427.706694
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,2,     426.563038
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,3,     423.250165
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,4,     429.146141
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,5,     424.654783
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,6,     431.345690
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,7,     423.683426
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,8,     420.941040
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,9,     425.950761
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,10,     429.187845
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,11,     432.388621
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,12,     422.593435
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,13,     416.749784
