dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,0,       1.357738
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,1,       0.582273
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,2,       0.563668
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,3,       0.579430
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,4,       0.798327
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,5,       0.580684
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,6,       0.566057
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,7,       0.575342
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,8,       0.578744
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,9,       0.567981
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,10,       0.569094
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,11,       0.564529
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,12,       0.579322
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,13,       0.565564
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,14,       0.570468
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,15,       0.573071
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,16,       0.572664
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,17,       0.578216
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,18,       0.570025
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,19,       0.572010
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,0,       5.589292
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,1,       5.616874
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,2,       5.510974
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,3,       5.573739
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,4,       5.528960
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,5,       5.533987
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,6,       5.506980
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,7,       5.605086
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,8,       5.554140
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,9,       5.559398
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,10,       5.537553
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,11,       5.514150
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,12,       5.519336
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,13,       5.608983
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,14,       6.687124
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,15,       5.475737
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,16,       5.517977
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,17,       5.535160
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,18,       5.597114
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,19,       5.543122
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,0,      24.251349
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,1,      24.404601
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,2,      24.402042
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,3,      24.860230
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,4,      24.425439
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,5,      24.588637
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,6,      24.430866
