dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,0,       1.574722
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,1,       0.585138
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,2,       0.577115
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,3,       0.579396
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,4,       0.577044
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,5,       0.582847
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,6,       0.584153
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,7,       0.570098
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,8,       0.593040
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,9,       0.581646
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,10,       0.578457
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,11,       0.573352
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,12,       0.573989
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,13,       0.578525
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,14,       0.571952
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,15,       0.576179
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,16,       0.575252
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,17,       0.572805
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,18,       0.573549
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,19,       0.574844
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,0,       5.550827
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,1,       5.710698
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,2,       5.738486
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,3,       5.715957
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,4,       5.684155
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,5,       5.685576
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,6,       5.685638
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,7,       5.640198
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,8,       5.673421
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,9,       5.743235
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,10,       5.712966
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,11,       5.634884
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,12,       5.696498
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,13,       5.692996
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,14,       5.697553
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,15,       5.714750
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,16,       6.976770
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,17,       6.117445
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,18,       5.669862
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,19,       5.675422
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,0,      24.470983
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,1,      24.126495
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,2,      24.713285
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,3,      24.210733
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,4,      24.184848
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,5,      25.136627
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,6,      24.205101
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,7,      23.912255
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,8,      24.351957
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,9,      24.288251
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,10,      24.328489
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,11,      24.631085
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,12,      24.210075
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,13,      24.288814
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,14,      24.843003
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,15,      24.612107
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,16,      24.370891
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,17,      23.973990
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,18,      25.366768
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,19,      24.294216
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,0,     105.368784
