dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,0,       0.057919
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,1,       0.055466
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,2,       0.055378
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,3,       0.055281
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,4,       0.055322
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,5,       0.055234
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,6,       0.055054
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,7,       0.055303
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,8,       0.055129
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,9,       0.055203
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,10,       0.055280
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,11,       0.055198
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,12,       0.055017
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,13,       0.053925
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,14,       0.053659
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,15,       0.053657
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,16,       0.053696
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,17,       0.053689
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,18,       0.053758
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,19,       0.053699
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,0,       0.284516
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,1,       0.271369
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,2,       0.268118
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,3,       0.268287
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,4,       0.268000
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,5,       0.270099
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,6,       0.268015
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,7,       0.267930
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,8,       0.272362
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,9,       0.267984
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,10,       0.267884
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,11,       0.270596
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,12,       0.268075
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,13,       0.267779
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,14,       0.270063
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,15,       0.267867
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,16,       0.268252
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,17,       0.268127
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,18,       0.270749
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,19,       0.268283
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,0,       0.994758
