dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.537624
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.548577
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.574085
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.576193
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.569734
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.577243
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.553179
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.574330
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.562398
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.550596
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.569118
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.567536
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.577673
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.544381
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.543818
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.574431
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.577701
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.561711
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.584914
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.575932
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       4.151540
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       3.767039
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       3.774598
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       3.725545
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       3.780247
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       3.764683
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,6,       3.776039
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,7,       3.788164
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       3.763885
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,9,       3.737982
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,10,       3.786832
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,11,       3.750378
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,12,       3.759795
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,13,       3.722278
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,14,       3.748075
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,15,       3.777483
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,16,       3.744589
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,17,       3.719309
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,18,       3.717922
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,19,       3.764169
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,0,      16.359088
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,1,      15.338738
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,2,      15.979101
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,3,      15.344984
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,4,      15.520184
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,5,      15.058784
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,6,      15.590169
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,7,      15.500449
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,8,      15.502242
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,9,      15.582506
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,10,      14.821211
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,11,      15.737923
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,12,      15.441693
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,13,      14.843219
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,14,      14.649856
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,15,      15.542758
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,16,      14.993252
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,17,      16.127979
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,18,      15.070567
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,19,      14.950465
