dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,0,       1.628886
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,1,       1.411631
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,2,       1.413990
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,3,       1.442065
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,4,       1.444305
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,5,       1.414150
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,6,       1.455778
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,7,       1.420808
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,8,       1.409751
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,9,       1.437121
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,10,       1.415816
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,11,       1.437901
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,12,       1.405000
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,13,       1.441029
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,14,       1.411923
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,15,       1.411735
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,16,       1.417179
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,17,       1.540495
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,18,       1.414680
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,19,       1.447654
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,0,      26.688712
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,1,      26.456609
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,2,      26.477300
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,3,      26.507932
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,4,      26.449431
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,5,      26.449484
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,6,      26.704027
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,7,      26.484709
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,8,      26.466176
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,9,      26.455985
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,10,      26.459880
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,11,      26.480775
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,12,      26.514830
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,13,      26.484839
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,14,      26.469388
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,15,      26.463070
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,16,      26.474665
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,17,      26.431080
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,18,      26.448001
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,19,      26.499473
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,0,     188.176003
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,1,     187.687927
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,2,     188.088524
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,3,     187.566475
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,4,     188.844551
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,5,     187.934056
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,6,     188.437824
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,7,     188.009701
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,8,     187.734760
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,9,     187.874085
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,10,     187.722428
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,11,     187.701827
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,12,     188.043445
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,13,     187.976418
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,14,     187.791329
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,15,     187.770479
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,16,     187.725907
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,17,     187.453103
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,18,     187.770093
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,19,     187.726408
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,0,     444.938951
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,1,     447.141158
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,2,     444.457550
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,3,     444.162478
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,4,     444.199607
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,5,     444.259667
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,6,     443.950614
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,7,     443.872280
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,8,     444.286626
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,9,     445.609999
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,10,     444.013386
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,11,     444.119099
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,12,     444.094425
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,13,     444.102421
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,14,     444.027870
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,15,     444.338098
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,16,     444.341313
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,17,     444.144674
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,18,     444.233867
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,19,     444.267497
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,0,     822.948700
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,1,     823.267600
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,2,     822.979226
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,3,     823.209311
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,4,     822.955872
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,5,     822.755509
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,6,     822.942438
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,7,     823.834769
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,8,     823.710841
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,9,     823.560237
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,10,     823.052058
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,11,     823.816384
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,12,     823.265928
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,13,     823.018820
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,14,     822.937455
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,15,     823.672770
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,16,     823.285801
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,17,     823.688235
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,18,     822.396543
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,19,     822.824474
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,0,     491.361530
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,1,     490.987684
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,2,     491.108872
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,3,     491.024081
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,4,     490.941480
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,5,     491.039643
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,6,     491.060414
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,7,     490.868575
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,8,     490.906608
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,9,     493.218489
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,10,     490.823543
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,11,     491.175941
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,12,     491.305894
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,13,     490.948433
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,14,     491.010826
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,15,     490.948502
3,float,uniform,PoisFFT,"D | D | D | D | D | D",384,16,     490.972044
