dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,       1.370316
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,       0.582658
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,       0.597284
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,       0.590642
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,       0.593737
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,       0.584543
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,       0.597863
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,       0.586440
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,       0.599304
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,       0.595295
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,       0.588545
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,       0.605676
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,       0.592218
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,       0.596451
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,       0.610414
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,       0.603817
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,       0.579150
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,       0.594145
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,       0.605047
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,       0.605498
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,0,       5.762915
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,1,       5.553390
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,2,       5.499618
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,3,       5.476514
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,4,       5.595171
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,5,       5.498170
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,6,       5.496130
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,7,       5.537074
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,8,       5.477742
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,9,       5.484981
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,10,       5.478852
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,11,       5.519733
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,12,       5.463077
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,13,       5.473424
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,14,       5.472520
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,15,       5.487833
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,16,       5.527557
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,17,       5.492520
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,18,       5.513953
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,19,       5.494004
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,0,      24.111526
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,1,      23.857441
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,2,      23.765118
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,3,      23.778367
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,4,      23.742294
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,5,      24.155604
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,6,      23.899662
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,7,      23.840159
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,8,      23.828673
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,9,      23.755750
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,10,      23.803497
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,11,      23.876517
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,12,      23.745954
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,13,      23.969537
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,14,      24.134687
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,15,      24.206391
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,16,      24.205846
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,17,      24.391754
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,18,      24.214875
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,19,      23.753997
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,0,      72.306130
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,1,      71.038827
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,2,      70.342468
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,3,      71.778839
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,4,      72.902530
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,5,      73.334845
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,6,      71.458834
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,7,      71.836384
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,8,      70.188903
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,9,      70.667739
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,10,      71.424045
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,11,      71.434996
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,12,      70.362347
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,13,      72.575631
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,14,      71.003268
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,15,      73.244563
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,16,      74.490651
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,17,      73.354462
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,18,      72.517300
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,19,      72.231933
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,0,     101.943378
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,1,     101.575272
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,2,     101.580425
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,3,     100.792078
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,4,     101.099677
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,5,     101.235754
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,6,     101.306054
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,7,     101.194859
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,8,     101.792645
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,9,     101.484624
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,10,     102.831574
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,11,     101.865527
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,12,     101.224729
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,13,     101.438374
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,14,     101.181035
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,15,     101.527578
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,16,     101.141431
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,17,     101.169447
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,18,     102.630201
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",320,19,     101.995560
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,0,     209.486506
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,1,     209.817550
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,2,     211.658272
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,3,     210.539383
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,4,     210.471057
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,5,     210.709376
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,6,     211.511167
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,7,     211.880678
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,8,     210.426203
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,9,     209.083786
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,10,     209.458802
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,11,     211.426505
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,12,     210.981129
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,13,     212.778559
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,14,     211.762033
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,15,     209.779522
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,16,     209.140472
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,17,     208.695622
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,18,     211.028980
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",384,19,     208.576576
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",448,0,     330.999242
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",448,1,     330.439041
