dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,       1.407502
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,       0.852521
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,       0.834202
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,       0.822697
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,       0.846427
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,       0.868948
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,       0.824846
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,       0.818323
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,       0.837530
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,       0.830985
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,       0.836724
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,       0.839504
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,       0.840568
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       0.844105
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       0.844083
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       0.791463
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       0.855491
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       0.854670
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       0.885458
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       0.868908
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,0,       5.514281
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,1,       5.399742
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,2,       5.849244
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,3,       5.302876
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,4,       5.342051
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,5,       5.045844
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,6,       5.272030
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,7,       5.272419
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,8,       5.430171
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,9,       5.510252
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,10,       5.196615
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,11,       5.386723
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,12,       5.369501
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,13,       5.420803
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,14,       5.465900
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,15,       5.038088
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,16,       5.338888
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,17,       5.222030
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,18,       5.157255
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,19,       5.227976
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,0,      22.024796
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,1,      21.778777
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,2,      21.639562
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,3,      21.699288
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,4,      21.705472
