dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,0,       2.136628
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,1,       1.827700
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,2,       1.525252
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,3,       1.625607
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,4,       1.589491
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,5,       1.454431
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,6,       1.529160
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,7,       1.399472
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,8,       1.476436
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,9,       1.482189
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,10,       1.514634
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,11,       1.532890
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,12,       1.481894
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,13,       1.467465
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,14,       1.442717
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,15,       1.427566
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,16,       1.578398
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,17,       1.432631
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,18,       1.447859
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,19,       1.479276
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,0,       7.268419
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,1,       6.871789
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,2,       7.147708
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,3,       7.007806
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,4,       7.040473
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,5,       7.123654
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,6,       7.293922
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,7,       7.000524
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,8,       7.146001
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,9,       7.061923
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,10,       7.038781
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,11,       6.917560
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,12,       7.561263
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,13,       7.117684
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,14,       7.634595
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,15,       6.926773
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,16,       7.024583
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,17,       7.310478
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,18,       7.446397
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,19,       6.961494
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,0,      34.411240
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,1,      34.020200
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,2,      34.225924
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,3,      34.125908
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,4,      34.147977
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,5,      34.146611
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,6,      34.173569
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,7,      34.120700
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,8,      34.293315
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,9,      34.024031
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,10,      34.598317
