dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,0,       1.717109
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,1,       0.414731
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,2,       0.421653
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,3,       0.432627
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,4,       0.428642
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,5,       0.441039
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,6,       0.403753
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,7,       0.415704
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,8,       0.408792
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,9,       0.438999
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,10,       0.406469
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,11,       0.406943
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,12,       0.405480
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,13,       0.403513
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,14,       0.424537
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,15,       0.427895
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,16,       0.408810
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,17,       0.394920
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,18,       0.406026
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,19,       0.425258
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,0,       3.231351
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,1,       2.737463
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,2,       2.792688
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,3,       2.756091
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,4,       2.770993
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,5,       2.741661
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,6,       2.753070
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,7,       2.750295
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,8,       2.743469
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,9,       2.712574
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,10,       2.765864
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,11,       2.779064
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,12,       2.757817
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,13,       2.756566
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,14,       2.795963
