dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"Ns | Ds",64,0,       0.002867
1,double,uniform,PoisFFT,"Ns | Ds",64,1,       0.001061
1,double,uniform,PoisFFT,"Ns | Ds",64,2,       0.000860
1,double,uniform,PoisFFT,"Ns | Ds",64,3,       0.000856
1,double,uniform,PoisFFT,"Ns | Ds",64,4,       0.000867
1,double,uniform,PoisFFT,"Ns | Ds",64,5,       0.000851
1,double,uniform,PoisFFT,"Ns | Ds",64,6,       0.000868
1,double,uniform,PoisFFT,"Ns | Ds",64,7,       0.000846
1,double,uniform,PoisFFT,"Ns | Ds",64,8,       0.000850
1,double,uniform,PoisFFT,"Ns | Ds",64,9,       0.000850
1,double,uniform,PoisFFT,"Ns | Ds",64,10,       0.000870
1,double,uniform,PoisFFT,"Ns | Ds",64,11,       0.000842
1,double,uniform,PoisFFT,"Ns | Ds",64,12,       0.000868
1,double,uniform,PoisFFT,"Ns | Ds",64,13,       0.000851
1,double,uniform,PoisFFT,"Ns | Ds",64,14,       0.000871
1,double,uniform,PoisFFT,"Ns | Ds",64,15,       0.000850
1,double,uniform,PoisFFT,"Ns | Ds",64,16,       0.000870
1,double,uniform,PoisFFT,"Ns | Ds",64,17,       0.000852
1,double,uniform,PoisFFT,"Ns | Ds",64,18,       0.000849
1,double,uniform,PoisFFT,"Ns | Ds",64,19,       0.000860
1,double,uniform,PoisFFT,"Ns | Ds",128,0,       0.001840
1,double,uniform,PoisFFT,"Ns | Ds",128,1,       0.001614
1,double,uniform,PoisFFT,"Ns | Ds",128,2,       0.001564
1,double,uniform,PoisFFT,"Ns | Ds",128,3,       0.001551
1,double,uniform,PoisFFT,"Ns | Ds",128,4,       0.001556
1,double,uniform,PoisFFT,"Ns | Ds",128,5,       0.001560
1,double,uniform,PoisFFT,"Ns | Ds",128,6,       0.001561
1,double,uniform,PoisFFT,"Ns | Ds",128,7,       0.001586
1,double,uniform,PoisFFT,"Ns | Ds",128,8,       0.001561
1,double,uniform,PoisFFT,"Ns | Ds",128,9,       0.001556
1,double,uniform,PoisFFT,"Ns | Ds",128,10,       0.001551
1,double,uniform,PoisFFT,"Ns | Ds",128,11,       0.001557
1,double,uniform,PoisFFT,"Ns | Ds",128,12,       0.001567
1,double,uniform,PoisFFT,"Ns | Ds",128,13,       0.001559
1,double,uniform,PoisFFT,"Ns | Ds",128,14,       0.001558
1,double,uniform,PoisFFT,"Ns | Ds",128,15,       0.001559
1,double,uniform,PoisFFT,"Ns | Ds",128,16,       0.001550
1,double,uniform,PoisFFT,"Ns | Ds",128,17,       0.001552
1,double,uniform,PoisFFT,"Ns | Ds",128,18,       0.001552
1,double,uniform,PoisFFT,"Ns | Ds",128,19,       0.001562
1,double,uniform,PoisFFT,"Ns | Ds",192,0,       0.003388
1,double,uniform,PoisFFT,"Ns | Ds",192,1,       0.002901
1,double,uniform,PoisFFT,"Ns | Ds",192,2,       0.002862
1,double,uniform,PoisFFT,"Ns | Ds",192,3,       0.002838
1,double,uniform,PoisFFT,"Ns | Ds",192,4,       0.002818
1,double,uniform,PoisFFT,"Ns | Ds",192,5,       0.002818
1,double,uniform,PoisFFT,"Ns | Ds",192,6,       0.002848
1,double,uniform,PoisFFT,"Ns | Ds",192,7,       0.002820
1,double,uniform,PoisFFT,"Ns | Ds",192,8,       0.002815
1,double,uniform,PoisFFT,"Ns | Ds",192,9,       0.002820
1,double,uniform,PoisFFT,"Ns | Ds",192,10,       0.002862
1,double,uniform,PoisFFT,"Ns | Ds",192,11,       0.002814
