dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,0,       0.056685
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,1,       0.054749
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,2,       0.054506
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,3,       0.054432
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,4,       0.054447
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,5,       0.057257
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,6,       0.054441
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,7,       0.054404
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,8,       0.053866
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,9,       0.053835
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,10,       0.053864
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,11,       0.053867
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,12,       0.053966
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,13,       0.053826
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,14,       0.053847
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,15,       0.053853
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,16,       0.053833
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,17,       0.053936
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,18,       0.053743
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,19,       0.053799
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,0,       0.271616
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,1,       0.269086
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,2,       0.271690
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,3,       0.268642
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,4,       0.268720
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,5,       0.268885
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,6,       0.268546
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,7,       0.268509
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,8,       0.268616
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,9,       0.268635
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,10,       0.270559
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,11,       0.268991
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,12,       0.269018
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,13,       0.270865
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,14,       0.268654
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,15,       0.268524
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,16,       0.270858
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,17,       0.268704
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,18,       0.268375
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,19,       0.271136
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,0,       0.718438
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,1,       0.713676
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,2,       0.714166
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,3,       0.717514
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,4,       0.717246
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,5,       0.716494
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,6,       0.717013
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,7,       0.844533
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,8,       0.717435
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,9,       0.791737
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,10,       0.776007
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,11,       0.717214
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,12,       0.790937
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,13,       0.776761
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,14,       0.791294
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,15,       0.776550
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,16,       0.714052
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,17,       0.713707
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,18,       0.814508
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,19,       0.747612
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,0,       1.766398
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,1,       1.775059
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,2,       1.776154
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,3,       1.906010
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,4,       1.774697
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,5,       1.776684
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,6,       1.777717
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,7,       1.775648
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,8,       1.774616
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,9,       1.776034
