dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"P | P | P | P",64,0,       0.051914
2,double,uniform,PoisFFT,"P | P | P | P",64,1,       0.047832
2,double,uniform,PoisFFT,"P | P | P | P",64,2,       0.047899
2,double,uniform,PoisFFT,"P | P | P | P",64,3,       0.047308
2,double,uniform,PoisFFT,"P | P | P | P",64,4,       0.047697
2,double,uniform,PoisFFT,"P | P | P | P",64,5,       0.047504
2,double,uniform,PoisFFT,"P | P | P | P",64,6,       0.047619
2,double,uniform,PoisFFT,"P | P | P | P",64,7,       0.047576
2,double,uniform,PoisFFT,"P | P | P | P",64,8,       0.047590
2,double,uniform,PoisFFT,"P | P | P | P",64,9,       0.047630
2,double,uniform,PoisFFT,"P | P | P | P",64,10,       0.047526
2,double,uniform,PoisFFT,"P | P | P | P",64,11,       0.047609
2,double,uniform,PoisFFT,"P | P | P | P",64,12,       0.047333
2,double,uniform,PoisFFT,"P | P | P | P",64,13,       0.047713
2,double,uniform,PoisFFT,"P | P | P | P",64,14,       0.047468
2,double,uniform,PoisFFT,"P | P | P | P",64,15,       0.047143
2,double,uniform,PoisFFT,"P | P | P | P",64,16,       0.047645
2,double,uniform,PoisFFT,"P | P | P | P",64,17,       0.050189
2,double,uniform,PoisFFT,"P | P | P | P",64,18,       0.047229
2,double,uniform,PoisFFT,"P | P | P | P",64,19,       0.047537
2,double,uniform,PoisFFT,"P | P | P | P",128,0,       0.207620
2,double,uniform,PoisFFT,"P | P | P | P",128,1,       0.217572
2,double,uniform,PoisFFT,"P | P | P | P",128,2,       0.205754
2,double,uniform,PoisFFT,"P | P | P | P",128,3,       0.204580
2,double,uniform,PoisFFT,"P | P | P | P",128,4,       0.205055
2,double,uniform,PoisFFT,"P | P | P | P",128,5,       0.208041
2,double,uniform,PoisFFT,"P | P | P | P",128,6,       0.204735
2,double,uniform,PoisFFT,"P | P | P | P",128,7,       0.204993
2,double,uniform,PoisFFT,"P | P | P | P",128,8,       0.207574
2,double,uniform,PoisFFT,"P | P | P | P",128,9,       0.204823
2,double,uniform,PoisFFT,"P | P | P | P",128,10,       0.204410
2,double,uniform,PoisFFT,"P | P | P | P",128,11,       0.207580
2,double,uniform,PoisFFT,"P | P | P | P",128,12,       0.205270
2,double,uniform,PoisFFT,"P | P | P | P",128,13,       0.204931
2,double,uniform,PoisFFT,"P | P | P | P",128,14,       0.204943
2,double,uniform,PoisFFT,"P | P | P | P",128,15,       0.204942
2,double,uniform,PoisFFT,"P | P | P | P",128,16,       0.204382
2,double,uniform,PoisFFT,"P | P | P | P",128,17,       0.204942
2,double,uniform,PoisFFT,"P | P | P | P",128,18,       0.207807
