dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,       0.971443
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,1,       0.611465
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,2,       0.613161
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,3,       0.622309
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,4,       0.626888
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,5,       0.630372
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,6,       0.615150
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,7,       0.605421
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,8,       0.602027
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,9,       0.608391
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,10,       0.610010
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,11,       0.605753
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,12,       0.629753
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,13,       0.619478
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,14,       0.602914
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,15,       0.601067
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,16,       0.619454
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,17,       0.615352
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,18,       0.608350
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,19,       0.615211
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,0,       5.875989
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,1,       5.236142
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,2,       5.259689
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,3,       5.242237
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,4,       5.199198
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,5,       5.234370
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,6,       5.259275
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,7,       5.235838
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,8,       5.231483
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,9,       5.285683
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,10,       5.225444
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,11,       5.270977
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,12,       5.253437
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,13,       5.269297
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,14,       5.238015
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,15,       5.273638
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,16,       5.233044
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,17,       5.280514
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,18,       5.238929
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,19,       5.210576
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,0,      19.414866
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,1,      18.560914
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,2,      18.611961
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,3,      18.527309
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,4,      18.593520
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,5,      18.564136
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,6,      18.547117
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,7,      18.597234
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,8,      18.631458
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,9,      18.508040
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,10,      18.585395
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,11,      18.475324
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,12,      18.461644
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,13,      18.510983
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,14,      18.599767
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,15,      18.620624
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,16,      18.592884
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,17,      18.519105
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,18,      18.523894
