dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,       1.543014
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,       0.595415
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,       0.555439
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,       0.531095
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,       0.564033
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,       0.591805
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,       0.582213
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,       0.554212
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,       0.612429
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,       0.565262
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,       0.543830
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,       0.554889
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,       0.572754
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,       0.555697
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,       0.554631
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,       0.560587
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,       0.563462
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,       0.581512
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,       0.560194
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,       0.563361
