dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,0,       3.743086
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,1,       2.539296
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,2,       2.353058
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,3,       2.539401
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,4,       2.260189
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,5,       2.573913
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,6,       2.170649
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,7,       2.506444
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,8,       2.262104
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,9,       2.470058
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,10,       2.483005
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,11,       2.388572
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,12,       2.339147
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,13,       2.196070
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,14,       2.349951
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,15,       2.270164
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,16,       2.243432
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,17,       2.192806
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,18,       2.312844
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,19,       2.345004
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,0,      36.166642
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,1,      35.851053
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,2,      36.067927
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,3,      35.904187
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,4,      36.156145
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,5,      35.809631
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,6,      35.903465
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,7,      35.872585
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,8,      35.877640
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,9,      36.053194
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,10,      36.059390
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,11,      35.968664
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,12,      36.070917
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,13,      36.414039
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,14,      36.036815
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,15,      36.378802
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,16,      36.325038
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,17,      36.059255
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,18,      36.162732
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,19,      36.203932
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,0,     127.550793
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,1,     128.449015
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,2,     127.585593
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,3,     127.926694
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,4,     127.601424
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,5,     127.131482
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,6,     138.288164
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,7,     160.619868
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,8,     127.613131
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,9,     157.141037
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,10,     156.009078
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,11,     162.253954
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,12,     157.734141
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,13,     161.859922
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,14,     127.956807
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,15,     128.052036
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,16,     126.943212
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,17,     128.188246
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,18,     127.710954
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,19,     127.657948
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,0,     131.239894
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,1,     129.679399
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,2,     152.608963
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,3,     155.863962
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,4,     152.814868
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,5,     153.411087
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,6,     164.807894
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,7,     150.081696
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,8,     157.529710
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,9,     136.654100
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,10,     143.081277
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,11,     137.154293
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,12,     134.954157
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,13,     136.775040
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,14,     133.532860
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,15,     138.326244
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,16,     132.639805
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,17,     132.872840
