dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,0,       1.859369
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,1,       0.884675
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,2,       0.892877
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,3,       0.882144
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,4,       0.859079
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,5,       0.900280
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,6,       0.905603
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,7,       0.905152
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,8,       0.895575
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,9,       0.875252
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,10,       0.920392
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,11,       0.878406
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,12,       0.871724
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,13,       0.904679
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,14,       0.895216
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,15,       0.918364
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,16,       0.884013
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,17,       0.906141
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,18,       0.920647
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,19,       0.896272
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,0,       3.704532
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,1,       3.316335
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,2,       3.284212
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,3,       3.419531
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,4,       3.395011
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,5,       3.390080
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,6,       3.258853
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,7,       3.311152
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,8,       3.336411
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,9,       3.488619
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,10,       3.355547
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,11,       3.433121
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,12,       3.446337
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,13,       3.306638
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,14,       3.280955
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,15,       3.292935
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,16,       3.428086
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,17,       3.266354
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,18,       3.412595
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,19,       3.405575
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,0,      14.743958
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,1,      13.065394
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,2,      12.894029
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,3,      12.873521
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,4,      13.042752
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,5,      12.945832
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,6,      12.770204
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,7,      12.702999
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,8,      12.935609
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,9,      12.836501
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,10,      12.928563
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,11,      12.899532
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,12,      12.890176
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,13,      12.936937
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,14,      12.897223
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,15,      12.856733
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,16,      12.913262
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,17,      12.861449
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,18,      17.288762
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,19,      13.198405
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,0,      80.094894
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,1,      79.782215
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,2,      86.680688
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,3,      81.878478
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,4,      78.429616
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,5,      78.349456
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,6,      86.728531
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,7,      88.773157
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,8,      72.904602
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,9,      65.648476
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,10,      65.555847
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,11,      64.778268
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,12,      66.690350
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,13,      68.760955
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,14,      65.061708
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,15,      65.708708
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,16,      65.648914
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,17,      65.570523
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,18,      70.740011
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,19,      65.497002
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,0,      61.498662
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,1,      63.223394
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,2,      62.224504
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,3,      62.189598
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,4,      62.269148
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,5,      61.309348
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,6,      63.253882
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,7,      60.173132
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,8,      62.166816
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,9,      61.129148
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,10,      62.558741
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,11,      62.456401
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,12,      61.627859
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,13,      62.004533
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,14,      62.128282
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,15,      61.849787
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,16,      61.751790
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,17,      61.387857
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,18,      64.737201
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",320,19,      61.616786
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,0,     234.961467
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,1,     235.409999
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,2,     248.138524
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,3,     242.049397
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,4,     238.307278
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,5,     241.246070
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,6,     248.747038
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,7,     237.386033
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,8,     244.606568
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,9,     244.536578
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",384,10,     243.468056
