dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ds | Ns",64,0,0.075776,0,0.053764,0.367616,0.582745,0.497156
1,double,uniform,GPU,"Ds | Ns",64,1,0.023552,0,0.032048,0.013312,0.187695,0.068912
1,double,uniform,GPU,"Ds | Ns",64,2,0.02048,0,0.025617,0.012288,0.105419,0.058385
1,double,uniform,GPU,"Ds | Ns",64,3,0.018432,0,0.026057,0.011264,0.104403,0.055753
1,double,uniform,GPU,"Ds | Ns",64,4,0.019456,0,0.026516,0.012288,0.105036,0.05826
1,double,uniform,GPU,"Ds | Ns",64,5,0.018432,0,0.025855,0.012288,0.104869,0.056575
1,double,uniform,GPU,"Ds | Ns",64,6,0.019456,0,0.025578,0.012288,0.103825,0.057322
1,double,uniform,GPU,"Ds | Ns",64,7,0.019456,0,0.025368,0.012288,0.102717,0.057112
1,double,uniform,GPU,"Ds | Ns",64,8,0.02048,0,0.02537,0.013312,0.105178,0.059162
1,double,uniform,GPU,"Ds | Ns",64,9,0.02048,0,0.025888,0.012288,0.105062,0.058656
1,double,uniform,GPU,"Ds | Ns",64,10,0.024576,0,0.027617,0.012288,0.185979,0.064481
1,double,uniform,GPU,"Ds | Ns",64,11,0.019456,0,0.024892,0.011264,0.103182,0.055612
1,double,uniform,GPU,"Ds | Ns",64,12,0.019456,0,0.025151,0.012288,0.102492,0.056895
1,double,uniform,GPU,"Ds | Ns",64,13,0.019456,0,0.025684,0.012288,0.109567,0.057428
1,double,uniform,GPU,"Ds | Ns",64,14,0.019456,0,0.024902,0.012288,0.104203,0.056646
1,double,uniform,GPU,"Ds | Ns",64,15,0.019456,0,0.025211,0.011264,0.103462,0.055931
1,double,uniform,GPU,"Ds | Ns",64,16,0.019456,0,0.024877,0.012288,0.104216,0.056621
1,double,uniform,GPU,"Ds | Ns",64,17,0.019456,0,0.025313,0.013312,0.103794,0.058081
1,double,uniform,GPU,"Ds | Ns",64,18,0.02048,0,0.025615,0.014336,0.106336,0.060431
1,double,uniform,GPU,"Ds | Ns",64,19,0.019456,0,0.02499,0.012288,0.103505,0.056734
1,double,uniform,GPU,"Ds | Ns",128,0,0.031744,0,0.034733,0.018432,0.140882,0.084909
1,double,uniform,GPU,"Ds | Ns",128,1,0.021504,0,0.027178,0.02048,0.118891,0.069162
1,double,uniform,GPU,"Ds | Ns",128,2,0.019456,0,0.026084,0.012288,0.1067,0.057828
1,double,uniform,GPU,"Ds | Ns",128,3,0.02048,0,0.02558,0.012288,0.105037,0.058348
1,double,uniform,GPU,"Ds | Ns",128,4,0.018432,0,0.025112,0.012288,0.103743,0.055832
1,double,uniform,GPU,"Ds | Ns",128,5,0.019456,0,0.030147,0.016384,0.113315,0.065987
1,double,uniform,GPU,"Ds | Ns",128,6,0.019456,0,0.025894,0.012288,0.102971,0.057638
1,double,uniform,GPU,"Ds | Ns",128,7,0.019456,0,0.026344,0.011264,0.102904,0.057064
1,double,uniform,GPU,"Ds | Ns",128,8,0.019456,0,0.024907,0.011264,0.102516,0.055627
1,double,uniform,GPU,"Ds | Ns",128,9,0.018432,0,0.025033,0.013312,0.101507,0.056777
1,double,uniform,GPU,"Ds | Ns",128,10,0.019456,0,0.025365,0.012288,0.105981,0.057109
1,double,uniform,GPU,"Ds | Ns",128,11,0.017408,0,0.026213,0.012288,0.104199,0.055909
1,double,uniform,GPU,"Ds | Ns",128,12,0.017408,0,0.025678,0.012288,0.102076,0.055374
1,double,uniform,GPU,"Ds | Ns",128,13,0.019456,0,0.025387,0.012288,0.102926,0.057131
1,double,uniform,GPU,"Ds | Ns",128,14,0.108544,0,0.025376,0.012288,0.194252,0.146208
1,double,uniform,GPU,"Ds | Ns",128,15,0.02048,0,0.025423,0.012288,0.105441,0.058191
1,double,uniform,GPU,"Ds | Ns",128,16,0.017408,0,0.025517,0.011264,0.102579,0.054189
1,double,uniform,GPU,"Ds | Ns",128,17,0.018432,0,0.025351,0.012288,0.102152,0.056071
1,double,uniform,GPU,"Ds | Ns",128,18,0.018432,0,0.025091,0.011264,0.10241,0.054787
1,double,uniform,GPU,"Ds | Ns",128,19,0.019456,0,0.025747,0.012288,0.103543,0.057491
1,double,uniform,GPU,"Ds | Ns",192,0,0.029696,0,0.039655,0.018432,0.142462,0.087783
1,double,uniform,GPU,"Ds | Ns",192,1,0.027648,0,0.029049,0.01536,0.121493,0.072057
1,double,uniform,GPU,"Ds | Ns",192,2,0.021504,0,0.02803,0.013312,0.108417,0.062846
1,double,uniform,GPU,"Ds | Ns",192,3,0.018432,0,0.028026,0.012288,0.106417,0.058746
1,double,uniform,GPU,"Ds | Ns",192,4,0.02048,0,0.028234,0.013312,0.11072,0.062026
1,double,uniform,GPU,"Ds | Ns",192,5,0.018432,0,0.027841,0.013312,0.106149,0.059585
1,double,uniform,GPU,"Ds | Ns",192,6,0.019456,0,0.028211,0.012288,0.106206,0.059955
1,double,uniform,GPU,"Ds | Ns",192,7,0.019456,0,0.027808,0.013312,0.106318,0.060576
1,double,uniform,GPU,"Ds | Ns",192,8,0.018432,0,0.027798,0.013312,0.105401,0.059542
1,double,uniform,GPU,"Ds | Ns",192,9,0.075776,0,0.027315,0.012288,0.163247,0.115379
1,double,uniform,GPU,"Ds | Ns",192,10,0.018432,0,0.028214,0.012288,0.104516,0.058934
1,double,uniform,GPU,"Ds | Ns",192,11,0.018432,0,0.027358,0.012288,0.104341,0.058078
1,double,uniform,GPU,"Ds | Ns",192,12,0.018432,0,0.027493,0.012288,0.104079,0.058213
1,double,uniform,GPU,"Ds | Ns",192,13,0.019456,0,0.027436,0.012288,0.105308,0.05918
1,double,uniform,GPU,"Ds | Ns",192,14,0.019456,0,0.027254,0.012288,0.105267,0.058998
1,double,uniform,GPU,"Ds | Ns",192,15,0.019456,0,0.027917,0.013312,0.106203,0.060685
1,double,uniform,GPU,"Ds | Ns",192,16,0.019456,0,0.029956,0.01536,0.11432,0.064772
1,double,uniform,GPU,"Ds | Ns",192,17,0.024576,0,0.028091,0.011264,0.110121,0.063931
1,double,uniform,GPU,"Ds | Ns",192,18,0.019456,0,0.027321,0.012288,0.104982,0.059065
1,double,uniform,GPU,"Ds | Ns",192,19,0.09216,0,0.028121,0.011264,0.180732,0.131545
1,double,uniform,GPU,"Ds | Ns",256,0,0.04096,0,0.036039,0.026624,0.168249,0.103623
1,double,uniform,GPU,"Ds | Ns",256,1,0.022528,0,0.027059,0.014336,0.11283,0.063923
1,double,uniform,GPU,"Ds | Ns",256,2,0.021504,0,0.025412,0.016384,0.110492,0.0633
1,double,uniform,GPU,"Ds | Ns",256,3,0.019456,0,0.026352,0.012288,0.110497,0.058096
1,double,uniform,GPU,"Ds | Ns",256,4,0.019456,0,0.02578,0.012288,0.103513,0.057524
1,double,uniform,GPU,"Ds | Ns",256,5,0.019456,0,0.025131,0.013312,0.104252,0.057899
1,double,uniform,GPU,"Ds | Ns",256,6,0.019456,0,0.025413,0.011264,0.102803,0.056133
1,double,uniform,GPU,"Ds | Ns",256,7,0.019456,0,0.025802,0.011264,0.106649,0.056522
1,double,uniform,GPU,"Ds | Ns",256,8,0.018432,0,0.025196,0.013312,0.103707,0.05694
1,double,uniform,GPU,"Ds | Ns",256,9,0.02048,0,0.02541,0.012288,0.104611,0.058178
1,double,uniform,GPU,"Ds | Ns",256,10,0.024576,0,0.025595,0.060416,0.162586,0.110587
1,double,uniform,GPU,"Ds | Ns",256,11,0.019456,0,0.025055,0.013312,0.104033,0.057823
1,double,uniform,GPU,"Ds | Ns",256,12,0.018432,0,0.025402,0.01536,0.107409,0.059194
1,double,uniform,GPU,"Ds | Ns",256,13,0.019456,0,0.025874,0.012288,0.103511,0.057618
1,double,uniform,GPU,"Ds | Ns",256,14,0.019456,0,0.025146,0.013312,0.103955,0.057914
1,double,uniform,GPU,"Ds | Ns",256,15,0.018432,0,0.024952,0.013312,0.103712,0.056696
1,double,uniform,GPU,"Ds | Ns",256,16,0.019456,0,0.02507,0.012288,0.104428,0.056814
1,double,uniform,GPU,"Ds | Ns",256,17,0.018432,0,0.027393,0.012288,0.10874,0.058113
