dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ns",64,0,0.079872,0,0.049106,0.356352,0.568776,0.48533
1,double,uniform,GPU,"Ns | Ns",64,1,0.02048,0,0.025184,0.014336,0.108859,0.06
1,double,uniform,GPU,"Ns | Ns",64,2,0.02048,0,0.022119,0.011264,0.10117,0.053863
1,double,uniform,GPU,"Ns | Ns",64,3,0.019456,0,0.021743,0.012288,0.099882,0.053487
1,double,uniform,GPU,"Ns | Ns",64,4,0.019456,0,0.02133,0.019456,0.106859,0.060242
1,double,uniform,GPU,"Ns | Ns",64,5,0.019456,0,0.02154,0.012288,0.098923,0.053284
1,double,uniform,GPU,"Ns | Ns",64,6,0.019456,0,0.021726,0.011264,0.099077,0.052446
1,double,uniform,GPU,"Ns | Ns",64,7,0.018432,0,0.021459,0.011264,0.09863,0.051155
1,double,uniform,GPU,"Ns | Ns",64,8,0.019456,0,0.021528,0.012288,0.098199,0.053272
1,double,uniform,GPU,"Ns | Ns",64,9,0.017408,0,0.021999,0.011264,0.098124,0.050671
1,double,uniform,GPU,"Ns | Ns",64,10,0.018432,0,0.021536,0.012288,0.097561,0.052256
1,double,uniform,GPU,"Ns | Ns",64,11,0.018432,0,0.022154,0.011264,0.097534,0.05185
1,double,uniform,GPU,"Ns | Ns",64,12,0.02048,0,0.021948,0.012288,0.106813,0.054716
1,double,uniform,GPU,"Ns | Ns",64,13,0.017408,0,0.021815,0.011264,0.097935,0.050487
1,double,uniform,GPU,"Ns | Ns",64,14,0.018432,0,0.021799,0.012288,0.098839,0.052519
1,double,uniform,GPU,"Ns | Ns",64,15,0.018432,0,0.021687,0.011264,0.097831,0.051383
1,double,uniform,GPU,"Ns | Ns",64,16,0.017408,0,0.021602,0.011264,0.098285,0.050274
1,double,uniform,GPU,"Ns | Ns",64,17,0.019456,0,0.021745,0.011264,0.09856,0.052465
1,double,uniform,GPU,"Ns | Ns",64,18,0.018432,0,0.022205,0.012288,0.098351,0.052925
1,double,uniform,GPU,"Ns | Ns",64,19,0.018432,0,0.021592,0.012288,0.099027,0.052312
1,double,uniform,GPU,"Ns | Ns",128,0,0.03072,0,0.031469,0.019456,0.134826,0.081645
1,double,uniform,GPU,"Ns | Ns",128,1,0.022528,0,0.023411,0.012288,0.105585,0.058227
