dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"N | N | N | N",64,0,0.08336,0,0.086915,0.357376,0.620858,0.527651
2,double,uniform,CPU,"N | N | N | N",64,1,0.051584,0,0.040849,0.014336,0.16348,0.106769
2,double,uniform,CPU,"N | N | N | N",64,2,0.048416,0,0.036994,0.013312,0.152015,0.098722
2,double,uniform,CPU,"N | N | N | N",64,3,0.047424,0,0.037721,0.013312,0.151646,0.098457
2,double,uniform,CPU,"N | N | N | N",64,4,0.054112,0,0.03776,0.013312,0.157574,0.105184
2,double,uniform,CPU,"N | N | N | N",64,5,0.04768,0,0.037436,0.013312,0.15045,0.098428
2,double,uniform,CPU,"N | N | N | N",64,6,0.046656,0,0.037871,0.013312,0.150039,0.097839
2,double,uniform,CPU,"N | N | N | N",64,7,0.046176,0,0.036823,0.012288,0.14915,0.095287
2,double,uniform,CPU,"N | N | N | N",64,8,0.046592,0,0.037175,0.013312,0.148662,0.097079
2,double,uniform,CPU,"N | N | N | N",64,9,0.047456,0,0.03689,0.013312,0.149354,0.097658
2,double,uniform,CPU,"N | N | N | N",64,10,0.047104,0,0.036692,0.013312,0.148547,0.097108
2,double,uniform,CPU,"N | N | N | N",64,11,0.046336,0,0.037988,0.014336,0.157657,0.09866
2,double,uniform,CPU,"N | N | N | N",64,12,0.04768,0,0.036919,0.012288,0.151054,0.096887
2,double,uniform,CPU,"N | N | N | N",64,13,0.0472,0,0.037262,0.014336,0.149459,0.098798
2,double,uniform,CPU,"N | N | N | N",64,14,0.047072,0,0.036877,0.012288,0.14949,0.096237
2,double,uniform,CPU,"N | N | N | N",64,15,0.046688,0,0.036885,0.012288,0.147988,0.095861
2,double,uniform,CPU,"N | N | N | N",64,16,0.046208,0,0.036695,0.013312,0.147875,0.096215
2,double,uniform,CPU,"N | N | N | N",64,17,0.051904,0,0.036729,0.012288,0.154492,0.100921
2,double,uniform,CPU,"N | N | N | N",64,18,0.046944,0,0.036771,0.012288,0.149386,0.096003
2,double,uniform,CPU,"N | N | N | N",64,19,0.047008,0,0.037062,0.012288,0.149771,0.096358
2,double,uniform,CPU,"N | N | N | N",128,0,0.124416,0,0.106398,0.024576,0.331604,0.25539
2,double,uniform,CPU,"N | N | N | N",128,1,0.10592,0,0.07805,0.01536,0.255413,0.19933
2,double,uniform,CPU,"N | N | N | N",128,2,0.101152,0,0.077763,0.014336,0.245879,0.193251
2,double,uniform,CPU,"N | N | N | N",128,3,0.10752,0,0.076926,0.013312,0.249977,0.197758
2,double,uniform,CPU,"N | N | N | N",128,4,0.098528,0,0.07666,0.013312,0.241554,0.1885
2,double,uniform,CPU,"N | N | N | N",128,5,0.09792,0,0.076793,0.012288,0.240324,0.187001
2,double,uniform,CPU,"N | N | N | N",128,6,0.10016,0,0.079615,0.013312,0.244165,0.193087
2,double,uniform,CPU,"N | N | N | N",128,7,0.098592,0,0.076126,0.012288,0.239829,0.187006
2,double,uniform,CPU,"N | N | N | N",128,8,0.100448,0,0.076538,0.013312,0.241267,0.190298
2,double,uniform,CPU,"N | N | N | N",128,9,0.09856,0,0.076708,0.013312,0.240894,0.18858
2,double,uniform,CPU,"N | N | N | N",128,10,0.099008,0,0.076806,0.013312,0.240729,0.189126
2,double,uniform,CPU,"N | N | N | N",128,11,0.098336,0,0.076772,0.012288,0.240587,0.187396
2,double,uniform,CPU,"N | N | N | N",128,12,0.099936,0,0.170108,0.014336,0.340454,0.28438
2,double,uniform,CPU,"N | N | N | N",128,13,0.099168,0,0.076383,0.013312,0.240309,0.188863
2,double,uniform,CPU,"N | N | N | N",128,14,0.098432,0,0.076283,0.011264,0.239475,0.185979
2,double,uniform,CPU,"N | N | N | N",128,15,0.098464,0,0.07571,0.011264,0.238001,0.185438
2,double,uniform,CPU,"N | N | N | N",128,16,0.098048,0,0.076729,0.013312,0.240908,0.188089
2,double,uniform,CPU,"N | N | N | N",128,17,0.109152,0,0.075812,0.01232,0.249737,0.197284
2,double,uniform,CPU,"N | N | N | N",128,18,0.098816,0,0.07665,0.013312,0.240622,0.188778
2,double,uniform,CPU,"N | N | N | N",128,19,0.099616,0,0.076151,0.01536,0.243865,0.191127
2,double,uniform,CPU,"N | N | N | N",192,0,0.203872,0,0.088281,0.017408,0.451771,0.309561
2,double,uniform,CPU,"N | N | N | N",192,1,0.197184,0,0.080785,0.01536,0.349198,0.293329
2,double,uniform,CPU,"N | N | N | N",192,2,0.196448,0,0.080482,0.02048,0.351172,0.29741
2,double,uniform,CPU,"N | N | N | N",192,3,0.193376,0,0.07983,0.013312,0.3397,0.286518
2,double,uniform,CPU,"N | N | N | N",192,4,0.196864,0,0.078898,0.014336,0.341831,0.290098
2,double,uniform,CPU,"N | N | N | N",192,5,0.192384,0,0.079116,0.019456,0.34381,0.290956
2,double,uniform,CPU,"N | N | N | N",192,6,0.191776,0,0.078766,0.012288,0.335947,0.28283
2,double,uniform,CPU,"N | N | N | N",192,7,0.1984,0,0.078277,0.013312,0.345814,0.289989
2,double,uniform,CPU,"N | N | N | N",192,8,0.192224,0,0.079064,0.014336,0.337521,0.285624
2,double,uniform,CPU,"N | N | N | N",192,9,0.192864,0,0.0793,0.014336,0.337065,0.2865
2,double,uniform,CPU,"N | N | N | N",192,10,0.191008,0,0.078772,0.013312,0.335709,0.283092
2,double,uniform,CPU,"N | N | N | N",192,11,0.191968,0,0.079743,0.014336,0.338517,0.286047
2,double,uniform,CPU,"N | N | N | N",192,12,0.189504,0,0.079112,0.013312,0.334616,0.281928
2,double,uniform,CPU,"N | N | N | N",192,13,0.190368,0,0.078412,0.012288,0.335471,0.281068
