dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,0,0.036896,0.004072,0.106813,0.45056,0.748182,0.598341
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,1,0.02512,0.003916,0.083175,0.031744,0.287019,0.143955
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,2,0.030176,0.003668,0.072057,0.028672,0.278102,0.134573
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,3,0.027776,0.003658,0.071494,0.027648,0.276328,0.130576
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,4,0.029088,0.003689,0.072301,0.028672,0.277888,0.13375
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,5,0.02848,0.003698,0.07102,0.027648,0.275366,0.130846
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,6,0.027744,0.003643,0.069666,0.028672,0.273827,0.129725
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,7,0.028832,0.003655,0.070621,0.027648,0.276514,0.130756
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,8,0.02832,0.003674,0.071923,0.028672,0.281514,0.132589
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,9,0.026464,0.00368,0.071784,0.029696,0.274381,0.131624
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,10,0.028832,0.003621,0.070335,0.028672,0.275371,0.13146
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,11,0.028256,0.003715,0.071652,0.027648,0.275088,0.131271
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,12,0.02688,0.003737,0.070984,0.028672,0.274697,0.130273
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,13,0.0248,0.003673,0.072558,0.027648,0.277176,0.128679
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,14,0.027296,0.003669,0.069568,0.029696,0.273714,0.130229
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,15,0.0272,0.003621,0.071187,0.028672,0.284515,0.13068
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,16,0.027776,0.003654,0.070634,0.032768,0.278637,0.134832
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,17,0.027776,0.00367,0.071369,0.026624,0.274087,0.129439
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,18,0.027456,0.003621,0.070587,0.028672,0.273081,0.130336
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,19,0.027072,0.003668,0.071398,0.026624,0.273191,0.128762
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,0,0.105536,0.003956,0.472966,0.248832,0.982598,0.83129
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,1,0.102688,0.003872,0.426277,0.238592,0.920491,0.771429
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,2,0.107808,0.003866,0.422215,0.237568,0.918976,0.771457
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,3,0.103744,0.003994,0.428319,0.24064,0.922798,0.776697
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,4,0.10928,0.003961,0.423472,0.247808,0.932478,0.784521
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,5,0.107968,0.003939,0.424412,0.24064,0.92187,0.776959
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,6,0.108608,0.003988,0.426938,0.24064,0.928155,0.780174
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,7,0.111328,0.003947,0.430101,0.239616,0.9348,0.784992
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,8,0.10864,0.003935,0.428874,0.238592,0.926375,0.780041
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,9,0.108384,0.003969,0.421972,0.24064,0.92118,0.774965
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,10,0.111136,0.004044,0.566398,0.238592,1.06794,0.92017
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,11,0.102592,0.003995,0.428064,0.244736,0.928734,0.779387
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,12,0.108064,0.003963,0.422888,0.242688,0.923692,0.777603
