dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,0.040224,0.003938,0.103556,0.379904,0.666351,0.527622
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,0.028352,0.003703,0.0852,0.019456,0.272239,0.136711
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,0.025792,0.003509,0.072772,0.077824,0.3154,0.179897
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,0.025088,0.00353,0.070615,0.016384,0.248914,0.115617
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,0.026144,0.003638,0.07104,0.016384,0.251008,0.117206
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,0.025824,0.003642,0.071065,0.016384,0.250917,0.116915
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,0.023904,0.003557,0.070561,0.017408,0.25031,0.11543
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,0.02544,0.003572,0.071819,0.016384,0.250798,0.117215
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,0.025568,0.003673,0.240272,0.016384,0.422006,0.285897
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,0.025088,0.003661,0.070499,0.017408,0.249237,0.116656
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,0.024608,0.003613,0.072034,0.01536,0.252956,0.115615
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,0.02432,0.003547,0.071226,0.02048,0.255351,0.119573
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,0.024672,0.003551,0.071386,0.016384,0.2499,0.115993
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,0.024768,0.003536,0.070179,0.017408,0.250366,0.115891
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,0.025728,0.003508,0.071164,0.016384,0.251009,0.116784
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,0.025664,0.096311,0.072643,0.019456,0.349611,0.214074
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,0.025472,0.003633,0.07106,0.016384,0.24982,0.116549
