dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,1.1049,0.004497,0.128079,0.385024,1.72893,1.6225
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,1.02742,0.004044,0.082145,0.018432,1.19443,1.13205
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,1.13622,0.003901,0.075004,0.016384,1.29312,1.23151
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,1.01619,0.003726,0.074892,0.016384,1.17211,1.11119
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,1.02192,0.003809,0.075362,0.016384,1.17819,1.11747
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,1.07994,0.003923,0.075107,0.016384,1.23701,1.17535
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,1.04621,0.003831,0.073766,0.017408,1.20139,1.14121
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,1.03334,0.004066,0.074879,0.016384,1.18893,1.12867
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,1.02432,0.003855,0.073615,0.017408,1.17786,1.1192
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,1.01667,0.003703,0.074721,0.01536,1.17147,1.11046
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,1.01837,0.003748,0.18092,0.016384,1.28028,1.21942
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,1.0121,0.003841,0.074965,0.016384,1.17478,1.10729
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,1.01987,0.003689,0.073929,0.016384,1.17537,1.11387
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,1.01402,0.003696,0.074971,0.01536,1.16962,1.10804
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,1.32579,0.003708,0.073655,0.016384,1.48018,1.41954
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,1.02266,0.003902,0.07551,0.017408,1.17919,1.11948
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,1.02451,0.003869,0.074725,0.016384,1.18061,1.11949
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,1.02474,0.004201,0.076646,0.016384,1.18523,1.12197
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,1.03139,0.003899,0.073505,0.016384,1.18615,1.12518
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,1.02685,0.003753,0.073743,0.017408,1.18133,1.12175
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,0,6.88602,0.004532,0.421617,0.113664,7.51926,7.42583
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,1,6.90598,0.004312,0.387348,0.111616,7.4815,7.40926
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,2,6.89133,0.004133,0.383881,0.10752,7.46297,7.38686
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,3,6.9512,0.004088,0.381295,0.105472,7.51662,7.44206
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,4,6.91648,0.00407,0.381749,0.105472,7.48089,7.40777
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,5,6.93418,0.004136,0.384543,0.105472,7.50207,7.42833
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,6,6.91354,0.004164,0.379919,0.104448,7.47711,7.40207
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,7,7.02118,0.004049,0.380373,0.106496,7.58305,7.5121
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,8,7.01088,0.004168,0.37951,0.109568,7.57431,7.50413
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,9,7.00006,0.004127,0.381406,0.105472,7.56352,7.49107
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,10,7.0497,0.004125,0.379999,0.106496,7.61878,7.54032
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,11,7.03923,0.004517,0.383736,0.10752,7.60799,7.53501
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,12,7.08986,0.004202,0.385019,0.10752,7.66646,7.5866
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,13,7.01075,0.004158,0.381961,0.110592,7.58078,7.50746
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,14,7.10403,0.004221,0.381633,0.106496,7.66767,7.59638
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,15,7.0991,0.004076,0.382167,0.108544,7.66441,7.59389
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,16,6.98835,0.004177,0.381827,0.106496,7.55036,7.48085
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,17,6.97494,0.004164,0.382251,0.106496,7.53986,7.46785
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,18,7.0081,0.00407,0.386606,0.106496,7.57526,7.50527
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,19,6.90426,0.004097,0.382036,0.106496,7.47007,7.39688
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,0,23.9827,0.004197,1.17419,0.367616,25.6456,25.5287
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,1,23.8676,0.004042,1.13878,0.360448,25.4509,25.3709
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,2,24.1996,0.004185,1.132,0.362496,25.7803,25.6983
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,3,23.8107,0.00403,1.15574,0.360448,25.4238,25.3309
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,4,23.9036,0.004192,1.14131,0.355328,25.4883,25.4045
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,5,24.2558,0.004155,1.14134,0.360448,25.8465,25.7618
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,6,23.7667,0.004311,1.13933,0.360448,25.3542,25.2708
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,7,24.1245,0.004122,1.1533,0.356352,25.7258,25.6383
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,8,23.889,0.004147,1.14439,0.362496,25.4847,25.4001
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,9,24.0923,0.004177,1.14228,0.356352,25.682,25.5951
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,10,24.1401,0.004253,1.15169,0.360448,25.7393,25.6565
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,11,24.2618,0.004097,1.14521,0.360448,25.8576,25.7716
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,12,24.0637,0.004205,1.13812,0.37376,25.6665,25.5798
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,13,24.3484,0.004138,1.14655,0.359424,25.9447,25.8585
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,14,24.4897,0.004166,1.14893,0.360448,26.0913,26.0033
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,15,24.3611,0.004272,1.16394,0.359424,25.9783,25.8887
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,16,24.3362,0.004245,1.14076,0.3584,25.9226,25.8396
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,17,24.2845,0.00417,1.14629,0.359424,25.8787,25.7944
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,18,23.8444,0.004356,1.1493,0.361472,25.4444,25.3595
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,19,24.302,0.004246,1.14957,0.360448,25.9005,25.8163
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,0,56.1771,0.003435,2.88313,0.80384,59.9654,59.8675
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,1,55.8327,0.002988,2.82948,0.797696,59.5444,59.4628
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,2,55.9652,0.003119,2.84431,0.799744,59.6958,59.6124
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,3,55.8527,0.003375,2.84415,0.797696,59.578,59.498
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,4,55.719,0.003404,2.84356,0.79568,59.4446,59.3616
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,5,56.0026,0.003099,2.85078,0.796672,59.7335,59.6531
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,6,55.7251,0.00339,2.8425,0.800768,59.4646,59.3718
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,7,55.6214,0.003154,2.8481,0.796704,59.3517,59.2693
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,8,55.5233,0.003118,2.84431,0.799744,59.2514,59.1705
