dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,0,1.10163,0.00424,0.132231,0.448512,1.80356,1.68661
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,1,1.07302,0.003726,0.0831,0.03072,1.27044,1.19057
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,2,0.991136,0.00359,0.07583,0.029696,1.16913,1.10025
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,3,1.12582,0.003631,0.077424,0.026624,1.30708,1.2335
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,4,0.994304,0.003541,0.073788,0.028672,1.17061,1.1003
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,5,0.992672,0.003589,0.073578,0.029696,1.16702,1.09953
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,6,0.99024,0.003624,0.073173,0.029696,1.16452,1.09673
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,7,0.980416,0.003684,0.077304,0.029696,1.16753,1.0911
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,8,1.05402,0.003626,0.073452,0.028672,1.22887,1.15977
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,9,1.07514,0.00358,0.073862,0.028672,1.25084,1.18125
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,10,0.989792,0.003567,0.074162,0.029696,1.16462,1.09722
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,11,0.985472,0.00354,0.073565,0.028672,1.15933,1.09125
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,12,1.03654,0.003609,0.073927,0.028672,1.21043,1.14275
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,13,1.09802,0.003583,0.07388,0.028672,1.27292,1.20415
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,14,0.991328,0.003585,0.074499,0.028672,1.17311,1.09808
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,15,0.99104,0.003717,0.074426,0.028672,1.16531,1.09785
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,16,0.988,0.003605,0.073926,0.028672,1.16189,1.0942
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,17,0.984448,0.003631,0.074447,0.028672,1.1636,1.0912
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,18,0.98288,0.003691,0.073972,0.026624,1.15797,1.08717
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,19,0.985184,0.003622,0.131875,0.028672,1.21932,1.14935
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,0,7.00976,0.004114,0.482515,0.253952,7.85123,7.75034
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,1,7.06243,0.003981,0.43547,0.243712,7.82649,7.7456
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,2,7.03085,0.003871,0.450343,0.239616,7.80613,7.72468
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,3,6.94854,0.003818,0.447966,0.239616,7.72185,7.63994
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,4,6.93424,0.004019,0.436507,0.24064,7.69785,7.61541
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,5,7.01171,0.003998,0.44023,0.241664,7.7812,7.6976
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,6,6.88544,0.003819,0.436389,0.241664,7.64704,7.56731
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,7,7.00627,0.004115,0.438647,0.242688,7.77003,7.69172
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,8,6.88986,0.003885,0.434582,0.243712,7.65322,7.57204
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,9,6.88877,0.0038,0.440543,0.243712,7.65645,7.57682
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,10,6.98061,0.004147,0.43867,0.239616,7.74302,7.66304
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,11,7.03229,0.00392,0.436266,0.24576,7.79638,7.71823
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,12,6.89843,0.003845,0.434891,0.242688,7.66345,7.57986
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,13,6.99392,0.003735,0.432309,0.243712,7.75245,7.67368
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,14,6.96509,0.003933,0.437247,0.241664,7.73121,7.64793
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,15,6.96544,0.004029,0.433076,0.308224,7.79066,7.71077
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,16,7.10816,0.003978,0.440802,0.242688,7.87458,7.79563
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,17,6.95542,0.003851,0.439405,0.24576,7.72883,7.64444
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,18,7.06496,0.003909,0.434339,0.243712,7.82617,7.74692
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,19,6.94944,0.003956,0.437509,0.241664,7.71644,7.63257
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,0,23.902,0.003706,1.44921,0.754688,26.2052,26.1096
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,1,23.8896,0.004267,1.4076,0.750592,26.1459,26.0521
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,2,23.8827,0.00386,1.4095,0.751616,26.1395,26.0476
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,3,23.4966,0.004238,1.42134,0.75264,25.7707,25.6748
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,4,23.8676,0.004624,1.40888,0.750592,26.1278,26.0317
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,5,23.7875,0.004136,1.40827,0.750592,26.046,25.9505
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,6,23.854,0.004242,1.40731,0.753664,26.1124,26.0192
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,7,23.5816,0.004199,1.41075,0.753664,25.8432,25.7502
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,8,23.8427,0.004241,1.41166,0.751616,26.1064,26.0102
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,9,23.6636,0.003981,1.40462,0.75264,25.9143,25.8249
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,10,23.8749,0.004862,1.41528,0.755712,26.144,26.0508
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,11,23.5512,0.004171,1.41643,0.75264,25.8208,25.7244
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,12,23.7179,0.004246,1.41482,0.75264,25.9848,25.8896
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,13,23.8483,0.00418,1.4122,0.75264,26.1107,26.0173
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,14,23.944,0.004091,1.41174,0.750592,26.2002,26.1105
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,15,23.6801,0.004,1.40998,0.75264,25.9419,25.8467
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,16,23.8528,0.004206,1.41518,0.75264,26.1191,26.0249
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,17,23.6312,0.004107,1.40986,0.746496,25.8934,25.7916
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,18,23.7598,0.004188,1.41061,0.749568,26.0192,25.9242
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,19,23.9437,0.004325,1.40817,0.749568,26.2041,26.1057
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,0,56.0981,0.003417,3.46359,1.72954,61.3896,61.2947
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,1,55.8892,0.003171,3.42593,1.72032,61.129,61.0386
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,2,55.4216,0.00312,3.41459,1.72237,60.6508,60.5616
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,3,55.4566,0.003076,3.42186,1.72237,60.694,60.6039
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,4,55.3645,0.003476,3.42842,1.72544,60.6107,60.5219
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,5,55.4779,0.003165,3.42723,1.72544,60.7219,60.6337
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,6,55.5748,0.003135,3.42695,1.72646,60.8222,60.7313
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,7,55.5307,0.002892,3.42623,1.72032,60.7654,60.6801
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,8,56.684,0.003137,3.42506,1.72237,61.9255,61.8345
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,9,54.876,0.003139,3.42822,1.72237,60.1188,60.0298
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,10,55.0274,0.003137,3.43642,1.72544,60.2804,60.1924
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,11,55.0021,0.003122,3.41922,1.72237,60.2338,60.1468
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,12,56.026,0.003109,3.43064,1.72339,61.2734,61.1832
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,13,55.1723,0.003271,3.43232,1.72339,60.421,60.3313
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,14,55.1617,0.003087,3.42459,1.7193,60.397,60.3087
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,15,55.1585,0.003107,3.42409,1.72237,60.3925,60.308
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,16,55.4363,0.003439,3.42383,1.72134,60.675,60.5849
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,17,55.4781,0.003154,3.41066,1.72339,60.7019,60.6153
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,18,55.3732,0.003599,3.42144,1.72237,60.6058,60.5206
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,19,54.9901,0.003403,3.42319,1.72339,60.2296,60.1401
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,0,107.492,0.003078,8.38322,3.4519,119.436,119.33
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,1,114.2,0.003046,8.35219,3.4345,126.088,125.989
