dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,0,1.09104,0.004152,0.128457,0.473088,1.81329,1.69674
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,1,1.01302,0.003967,0.083941,0.03072,1.20513,1.13165
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,2,1.05235,0.003622,0.075093,0.028672,1.23228,1.15974
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,3,1.03811,0.003743,0.073546,0.027648,1.21502,1.14305
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,4,1.00038,0.003654,0.07386,0.027648,1.17724,1.10555
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,5,0.99568,0.003794,0.073653,0.028672,1.17135,1.1018
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,6,0.987616,0.003705,0.073148,0.026624,1.16362,1.09109
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,7,0.99792,0.003793,0.073942,0.028672,1.17603,1.10433
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,8,1.10512,0.003655,0.073449,0.027648,1.28811,1.20987
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,9,1.02512,0.003814,0.073487,0.029696,1.20127,1.13212
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,10,0.99296,0.003699,0.075828,0.029696,1.17421,1.10218
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,11,0.997632,0.00357,0.073753,0.028672,1.17338,1.10363
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,12,0.988192,0.003702,0.073091,0.027648,1.17128,1.09263
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,13,0.988448,0.003746,0.074013,0.027648,1.16285,1.09386
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,14,0.988064,0.003808,0.075217,0.028672,1.16992,1.09576
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,15,1.04307,0.003786,0.075109,0.027648,1.22194,1.14961
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,16,1.18646,0.003734,0.075229,0.028672,1.36472,1.2941
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,17,1.00986,0.0037,0.075865,0.029696,1.18761,1.11912
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,18,0.985568,0.003731,0.074337,0.027648,1.16144,1.09128
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,19,0.989536,0.003844,0.073531,0.028672,1.16621,1.09558
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,0,6.8304,0.004186,0.544254,0.25088,7.73311,7.62972
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,1,7.02826,0.00393,0.516471,0.242688,7.87369,7.79135
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,2,6.94963,0.003958,0.51297,0.237568,7.78515,7.70413
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,3,6.97341,0.003998,0.507893,0.239616,7.80965,7.72491
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,4,7.05226,0.004272,0.505219,0.246784,7.88884,7.80853
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,5,6.98896,0.004473,0.505179,0.243712,7.82428,7.74232
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,6,7.02723,0.004165,0.509193,0.241664,7.86417,7.78225
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,7,6.99533,0.004077,0.502986,0.243712,7.82894,7.7461
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,8,7.0943,0.004065,0.502345,0.244736,7.92699,7.84545
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,9,7.13459,0.004053,0.503212,0.241664,7.96371,7.88352
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,10,6.9423,0.004081,0.502276,0.243712,7.77336,7.69237
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,11,7.04912,0.004014,0.516034,0.246784,7.90321,7.81595
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,12,7.144,0.003833,0.514816,0.239616,7.98455,7.90227
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,13,7.02634,0.00387,0.517235,0.241664,7.87332,7.7891
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,14,6.9833,0.003991,0.518048,0.24064,7.82992,7.74598
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",128,15,6.88378,0.004082,0.519319,0.239616,7.73175,7.64679
