dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ds | Ns",64,0,0.074752,0,0.054637,0.380928,0.596212,0.510317
1,float,uniform,GPU,"Ds | Ns",64,1,0.023552,0,0.031313,0.014336,0.119353,0.069201
1,float,uniform,GPU,"Ds | Ns",64,2,0.019456,0,0.024119,0.012288,0.104961,0.055863
1,float,uniform,GPU,"Ds | Ns",64,3,0.018432,0,0.024553,0.012288,0.102835,0.055273
1,float,uniform,GPU,"Ds | Ns",64,4,0.018432,0,0.024852,0.012288,0.102297,0.055572
1,float,uniform,GPU,"Ds | Ns",64,5,0.017408,0,0.023812,0.012288,0.102004,0.053508
1,float,uniform,GPU,"Ds | Ns",64,6,0.018432,0,0.02382,0.013312,0.102273,0.055564
1,float,uniform,GPU,"Ds | Ns",64,7,0.019456,0,0.023884,0.012288,0.102829,0.055628
1,float,uniform,GPU,"Ds | Ns",64,8,0.017408,0,0.025481,0.012288,0.103462,0.055177
1,float,uniform,GPU,"Ds | Ns",64,9,0.019456,0,0.024156,0.012288,0.101711,0.0559
1,float,uniform,GPU,"Ds | Ns",64,10,0.018432,0,0.023703,0.011264,0.1086,0.053399
1,float,uniform,GPU,"Ds | Ns",64,11,0.017408,0,0.024016,0.012288,0.101639,0.053712
1,float,uniform,GPU,"Ds | Ns",64,12,0.019456,0,0.024248,0.012288,0.102284,0.055992
1,float,uniform,GPU,"Ds | Ns",64,13,0.018432,0,0.030127,0.012288,0.108111,0.060847
1,float,uniform,GPU,"Ds | Ns",64,14,0.019456,0,0.023714,0.011264,0.101941,0.054434
1,float,uniform,GPU,"Ds | Ns",64,15,0.017408,0,0.024426,0.012288,0.101517,0.054122
1,float,uniform,GPU,"Ds | Ns",64,16,0.019456,0,0.024842,0.012288,0.10586,0.056586
1,float,uniform,GPU,"Ds | Ns",64,17,0.018432,0,0.024086,0.012288,0.101384,0.054806
1,float,uniform,GPU,"Ds | Ns",64,18,0.017408,0,0.023622,0.012288,0.102146,0.053318
1,float,uniform,GPU,"Ds | Ns",64,19,0.019456,0,0.024423,0.012288,0.10315,0.056167
1,float,uniform,GPU,"Ds | Ns",128,0,0.03072,0,0.035188,0.018432,0.13926,0.08434
1,float,uniform,GPU,"Ds | Ns",128,1,0.0256,0,0.026124,0.014368,0.115665,0.066092
1,float,uniform,GPU,"Ds | Ns",128,2,0.018432,0,0.024311,0.012288,0.104661,0.055031
1,float,uniform,GPU,"Ds | Ns",128,3,0.018432,0,0.024523,0.012288,0.103925,0.055243
1,float,uniform,GPU,"Ds | Ns",128,4,0.018432,0,0.024259,0.013312,0.103334,0.056003
1,float,uniform,GPU,"Ds | Ns",128,5,0.185344,0,0.024424,0.012288,0.269878,0.222056
1,float,uniform,GPU,"Ds | Ns",128,6,0.017408,0,0.024826,0.013312,0.102607,0.055546
1,float,uniform,GPU,"Ds | Ns",128,7,0.019456,0,0.024311,0.012288,0.102913,0.056055
1,float,uniform,GPU,"Ds | Ns",128,8,0.018432,0,0.024626,0.012288,0.103126,0.055346
1,float,uniform,GPU,"Ds | Ns",128,9,0.02048,0,0.024498,0.012288,0.103872,0.057266
1,float,uniform,GPU,"Ds | Ns",128,10,0.021504,0,0.02468,0.011264,0.105939,0.057448
1,float,uniform,GPU,"Ds | Ns",128,11,0.019456,0,0.024828,0.012288,0.102597,0.056572
1,float,uniform,GPU,"Ds | Ns",128,12,0.017408,0,0.024439,0.011264,0.101217,0.053111
1,float,uniform,GPU,"Ds | Ns",128,13,0.018432,0,0.024526,0.012288,0.102294,0.055246
1,float,uniform,GPU,"Ds | Ns",128,14,0.017408,0,0.024084,0.011264,0.10247,0.052756
1,float,uniform,GPU,"Ds | Ns",128,15,0.018432,0,0.024941,0.01536,0.105832,0.058733
1,float,uniform,GPU,"Ds | Ns",128,16,0.018432,0,0.024128,0.012288,0.101659,0.054848
1,float,uniform,GPU,"Ds | Ns",128,17,0.019456,0,0.023929,0.018432,0.108783,0.061817
1,float,uniform,GPU,"Ds | Ns",128,18,0.017408,0,0.02418,0.012288,0.102721,0.053876
1,float,uniform,GPU,"Ds | Ns",128,19,0.017408,0,0.024306,0.012288,0.103751,0.054002
1,float,uniform,GPU,"Ds | Ns",192,0,0.029696,0,0.043765,0.01536,0.143489,0.088821
