dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"P | P | P | P",64,0,0.072704,0,0.048388,0.44544,0.66482,0.566532
2,float,uniform,GPU,"P | P | P | P",64,1,0.021504,0,0.030661,0.022528,0.134251,0.074693
2,float,uniform,GPU,"P | P | P | P",64,2,0.02048,0,0.026087,0.02048,0.124744,0.067047
2,float,uniform,GPU,"P | P | P | P",64,3,0.02048,0,0.029011,0.018432,0.127528,0.067923
2,float,uniform,GPU,"P | P | P | P",64,4,0.02048,0,0.025777,0.019456,0.122161,0.065713
2,float,uniform,GPU,"P | P | P | P",64,5,0.019456,0,0.025431,0.021504,0.123006,0.066391
2,float,uniform,GPU,"P | P | P | P",64,6,0.019456,0,0.025762,0.019456,0.122521,0.064674
2,float,uniform,GPU,"P | P | P | P",64,7,0.024576,0,0.025882,0.019456,0.128388,0.069914
2,float,uniform,GPU,"P | P | P | P",64,8,0.019456,0,0.02564,0.018432,0.121583,0.063528
2,float,uniform,GPU,"P | P | P | P",64,9,0.019456,0,0.025453,0.019456,0.122248,0.064365
2,float,uniform,GPU,"P | P | P | P",64,10,0.019456,0,0.0254,0.018432,0.122226,0.063288
2,float,uniform,GPU,"P | P | P | P",64,11,0.019456,0,0.026071,0.019456,0.122084,0.064983
2,float,uniform,GPU,"P | P | P | P",64,12,0.02048,0,0.025502,0.019456,0.121596,0.065438
2,float,uniform,GPU,"P | P | P | P",64,13,0.018432,0,0.025421,0.017408,0.12101,0.061261
2,float,uniform,GPU,"P | P | P | P",64,14,0.019456,0,0.026268,0.019456,0.13083,0.06518
2,float,uniform,GPU,"P | P | P | P",64,15,0.018432,0,0.025769,0.021504,0.124941,0.065705
2,float,uniform,GPU,"P | P | P | P",64,16,0.019456,0,0.025326,0.019456,0.120066,0.064238
2,float,uniform,GPU,"P | P | P | P",64,17,0.019456,0,0.025541,0.018432,0.121064,0.063429
2,float,uniform,GPU,"P | P | P | P",64,18,0.019456,0,0.02569,0.018464,0.121866,0.06361
2,float,uniform,GPU,"P | P | P | P",64,19,0.019456,0,0.025464,0.019456,0.124521,0.064376
2,float,uniform,GPU,"P | P | P | P",128,0,0.031744,0,0.034463,0.029696,0.159773,0.095903
2,float,uniform,GPU,"P | P | P | P",128,1,0.02048,0,0.029686,0.029696,0.140122,0.079862
2,float,uniform,GPU,"P | P | P | P",128,2,0.017408,0,0.028616,0.021504,0.132028,0.067528
2,float,uniform,GPU,"P | P | P | P",128,3,0.017408,0,0.028889,0.019456,0.125421,0.065753
2,float,uniform,GPU,"P | P | P | P",128,4,0.017408,0,0.028233,0.019456,0.124632,0.065097
2,float,uniform,GPU,"P | P | P | P",128,5,0.017408,0,0.028155,0.018432,0.128141,0.063995
2,float,uniform,GPU,"P | P | P | P",128,6,0.016384,0,0.028354,0.019456,0.124338,0.064194
2,float,uniform,GPU,"P | P | P | P",128,7,0.016384,0,0.028724,0.02048,0.123769,0.065588
2,float,uniform,GPU,"P | P | P | P",128,8,0.016384,0,0.027819,0.019456,0.123821,0.063659
2,float,uniform,GPU,"P | P | P | P",128,9,0.017408,0,0.028119,0.021504,0.126886,0.067031
2,float,uniform,GPU,"P | P | P | P",128,10,0.017408,0,0.027947,0.02048,0.124681,0.065835
2,float,uniform,GPU,"P | P | P | P",128,11,0.016384,0,0.027572,0.019456,0.123793,0.063412
2,float,uniform,GPU,"P | P | P | P",128,12,0.017408,0,0.027711,0.019456,0.123468,0.064575
2,float,uniform,GPU,"P | P | P | P",128,13,0.016384,0,0.030559,0.018432,0.133535,0.065375
2,float,uniform,GPU,"P | P | P | P",128,14,0.017408,0,0.02823,0.02048,0.124293,0.066118
2,float,uniform,GPU,"P | P | P | P",128,15,0.016384,0,0.02799,0.019456,0.124728,0.06383
2,float,uniform,GPU,"P | P | P | P",128,16,0.017408,0,0.028057,0.018432,0.127596,0.063897
2,float,uniform,GPU,"P | P | P | P",128,17,0.016384,0,0.028325,0.018432,0.123805,0.063141
2,float,uniform,GPU,"P | P | P | P",128,18,0.016384,0,0.030339,0.018432,0.125806,0.065155
2,float,uniform,GPU,"P | P | P | P",128,19,0.01536,0,0.02803,0.019456,0.124043,0.062846
2,float,uniform,GPU,"P | P | P | P",192,0,0.027072,0,0.039659,0.029696,0.167895,0.096427
