dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"N | N | N | N",64,0,0.075328,0,0.088437,0.359424,0.614381,0.523189
2,float,uniform,CPU,"N | N | N | N",64,1,0.04272,0,0.038386,0.014336,0.156863,0.095442
2,float,uniform,CPU,"N | N | N | N",64,2,0.040672,0,0.0339,0.013312,0.142127,0.087884
2,float,uniform,CPU,"N | N | N | N",64,3,0.037984,0,0.033263,0.012288,0.137856,0.083535
2,float,uniform,CPU,"N | N | N | N",64,4,0.038304,0,0.032798,0.011264,0.136897,0.082366
2,float,uniform,CPU,"N | N | N | N",64,5,0.038688,0,0.032972,0.013312,0.137278,0.084972
2,float,uniform,CPU,"N | N | N | N",64,6,0.038848,0,0.034315,0.011264,0.143923,0.084427
2,float,uniform,CPU,"N | N | N | N",64,7,0.03792,0,0.032892,0.013312,0.137207,0.084124
2,float,uniform,CPU,"N | N | N | N",64,8,0.040096,0,0.033285,0.013312,0.139534,0.086693
2,float,uniform,CPU,"N | N | N | N",64,9,0.038784,0,0.032331,0.019456,0.14446,0.090571
2,float,uniform,CPU,"N | N | N | N",64,10,0.037408,0,0.032745,0.013312,0.13633,0.083465
2,float,uniform,CPU,"N | N | N | N",64,11,0.03664,0,0.032689,0.012288,0.134968,0.081617
2,float,uniform,CPU,"N | N | N | N",64,12,0.03632,0,0.032449,0.013312,0.135845,0.082081
2,float,uniform,CPU,"N | N | N | N",64,13,0.03808,0,0.032717,0.012288,0.135092,0.083085
2,float,uniform,CPU,"N | N | N | N",64,14,0.037216,0,0.032417,0.011264,0.13431,0.080897
2,float,uniform,CPU,"N | N | N | N",64,15,0.038016,0,0.03228,0.013312,0.135561,0.083608
2,float,uniform,CPU,"N | N | N | N",64,16,0.037504,0,0.03235,0.013312,0.138943,0.083166
2,float,uniform,CPU,"N | N | N | N",64,17,0.037696,0,0.032449,0.011264,0.133584,0.081409
2,float,uniform,CPU,"N | N | N | N",64,18,0.0384,0,0.032347,0.012288,0.135683,0.083035
2,float,uniform,CPU,"N | N | N | N",64,19,0.037568,0,0.033327,0.013312,0.134957,0.084207
2,float,uniform,CPU,"N | N | N | N",128,0,0.074912,0,0.081023,0.017408,0.236276,0.173343
