dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",64,0,0.039328,0,0.082316,0.36864,0.631992,0.490284
3,float,uniform,GPU,"D | D | D | D | D | D",64,1,0.037056,0,0.061814,0.016384,0.243805,0.115254
3,float,uniform,GPU,"D | D | D | D | D | D",64,2,0.02784,0,0.057974,0.01536,0.230159,0.101174
3,float,uniform,GPU,"D | D | D | D | D | D",64,3,0.025984,0,0.056895,0.016384,0.226022,0.099263
3,float,uniform,GPU,"D | D | D | D | D | D",64,4,0.026976,0,0.05707,0.01536,0.226821,0.099406
3,float,uniform,GPU,"D | D | D | D | D | D",64,5,0.027616,0,0.057228,0.014336,0.227132,0.09918
3,float,uniform,GPU,"D | D | D | D | D | D",64,6,0.02528,0,0.058104,0.01536,0.22625,0.098744
3,float,uniform,GPU,"D | D | D | D | D | D",64,7,0.028352,0,0.057173,0.01536,0.226964,0.100885
3,float,uniform,GPU,"D | D | D | D | D | D",64,8,0.02656,0,0.056869,0.01536,0.225484,0.098789
3,float,uniform,GPU,"D | D | D | D | D | D",64,9,0.0264,0,0.057687,0.01536,0.234799,0.099447
3,float,uniform,GPU,"D | D | D | D | D | D",64,10,0.026496,0,0.057322,0.01536,0.226788,0.099178
3,float,uniform,GPU,"D | D | D | D | D | D",64,11,0.026976,0,0.058344,0.01536,0.227516,0.10068
3,float,uniform,GPU,"D | D | D | D | D | D",64,12,0.027552,0,0.057442,0.016384,0.228239,0.101378
3,float,uniform,GPU,"D | D | D | D | D | D",64,13,0.027168,0,0.057165,0.01536,0.226346,0.099693
3,float,uniform,GPU,"D | D | D | D | D | D",64,14,0.024992,0,0.056956,0.01536,0.224988,0.097308
3,float,uniform,GPU,"D | D | D | D | D | D",64,15,0.02592,0,0.057287,0.016384,0.225718,0.099591
3,float,uniform,GPU,"D | D | D | D | D | D",64,16,0.027232,0,0.05811,0.01536,0.227289,0.100702
3,float,uniform,GPU,"D | D | D | D | D | D",64,17,0.028064,0,0.056875,0.014336,0.226668,0.099275
3,float,uniform,GPU,"D | D | D | D | D | D",64,18,0.026592,0,0.057807,0.01536,0.227175,0.099759
3,float,uniform,GPU,"D | D | D | D | D | D",64,19,0.027264,0,0.065031,0.01536,0.233891,0.107655
3,float,uniform,GPU,"D | D | D | D | D | D",128,0,0.066368,0,0.419977,0.065536,0.682187,0.551881
3,float,uniform,GPU,"D | D | D | D | D | D",128,1,0.066784,0,0.402845,0.060416,0.660401,0.530045
3,float,uniform,GPU,"D | D | D | D | D | D",128,2,0.072416,0,0.403088,0.063488,0.67251,0.538992
3,float,uniform,GPU,"D | D | D | D | D | D",128,3,0.062784,0,0.401053,0.058368,0.653136,0.522205
3,float,uniform,GPU,"D | D | D | D | D | D",128,4,0.06448,0,0.400352,0.060416,0.653578,0.525248
3,float,uniform,GPU,"D | D | D | D | D | D",128,5,0.06272,0,0.401473,0.06144,0.65331,0.525633
3,float,uniform,GPU,"D | D | D | D | D | D",128,6,0.063776,0,0.400641,0.060416,0.651833,0.524833
3,float,uniform,GPU,"D | D | D | D | D | D",128,7,0.063616,0,0.403541,0.060416,0.655654,0.527573
3,float,uniform,GPU,"D | D | D | D | D | D",128,8,0.06192,0,0.401544,0.058368,0.651896,0.521832
3,float,uniform,GPU,"D | D | D | D | D | D",128,9,0.065216,0,0.401749,0.062464,0.66162,0.529429
3,float,uniform,GPU,"D | D | D | D | D | D",128,10,0.063456,0,0.400695,0.058368,0.653639,0.522519
3,float,uniform,GPU,"D | D | D | D | D | D",128,11,0.061984,0,0.40539,0.060416,0.655089,0.52779
3,float,uniform,GPU,"D | D | D | D | D | D",128,12,0.063776,0,0.499081,0.06144,0.753262,0.624297
3,float,uniform,GPU,"D | D | D | D | D | D",128,13,0.063616,0,0.399984,0.058368,0.649205,0.521968
3,float,uniform,GPU,"D | D | D | D | D | D",128,14,0.065824,0,0.446594,0.060416,0.703153,0.572834
3,float,uniform,GPU,"D | D | D | D | D | D",128,15,0.06928,0,0.399882,0.060416,0.65697,0.529578
3,float,uniform,GPU,"D | D | D | D | D | D",128,16,0.068352,0,0.400477,0.060416,0.656976,0.529245
3,float,uniform,GPU,"D | D | D | D | D | D",128,17,0.062848,0,0.400096,0.06144,0.651864,0.524384
3,float,uniform,GPU,"D | D | D | D | D | D",128,18,0.06192,0,0.412528,0.060416,0.664954,0.534864
3,float,uniform,GPU,"D | D | D | D | D | D",128,19,0.064128,0,0.401316,0.058368,0.651996,0.523812
3,float,uniform,GPU,"D | D | D | D | D | D",192,0,0.166752,0,1.62085,0.222208,2.14006,2.00981
3,float,uniform,GPU,"D | D | D | D | D | D",192,1,0.168896,0,1.6192,0.21504,2.13226,2.00314
3,float,uniform,GPU,"D | D | D | D | D | D",192,2,0.170592,0,1.61894,0.216064,2.13436,2.00559
3,float,uniform,GPU,"D | D | D | D | D | D",192,3,0.168096,0,1.62163,0.214016,2.13383,2.00374
3,float,uniform,GPU,"D | D | D | D | D | D",192,4,0.166848,0,1.61978,0.217088,2.13379,2.00372
3,float,uniform,GPU,"D | D | D | D | D | D",192,5,0.167136,0,1.62673,0.216064,2.14155,2.00993
3,float,uniform,GPU,"D | D | D | D | D | D",192,6,0.167136,0,1.61788,0.212992,2.12979,1.99801
3,float,uniform,GPU,"D | D | D | D | D | D",192,7,0.166112,0,1.62591,0.21504,2.14192,2.00706
3,float,uniform,GPU,"D | D | D | D | D | D",192,8,0.167392,0,1.62043,0.216064,2.13409,2.00389
3,float,uniform,GPU,"D | D | D | D | D | D",192,9,0.165664,0,1.61703,0.22016,2.12957,2.00286
3,float,uniform,GPU,"D | D | D | D | D | D",192,10,0.161664,0,1.61983,0.219136,2.13061,2.00063
