dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,0,0.04224,0.004073,0.087117,0.437248,0.720373,0.570678
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,1,0.030208,0.003743,0.057508,0.024576,0.260456,0.116035
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,2,0.027232,0.003828,0.053345,0.024576,0.251659,0.108981
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,3,0.027712,0.003556,0.053267,0.023552,0.251352,0.108087
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,4,0.02688,0.003616,0.053093,0.023552,0.254659,0.107141
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,5,0.027872,0.003656,0.05906,0.023552,0.256891,0.11414
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,6,0.028192,0.003665,0.053006,0.023552,0.30513,0.108415
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,7,0.027872,0.003478,0.05241,0.024576,0.250179,0.108336
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,8,0.026112,0.003523,0.052679,0.023552,0.248727,0.105866
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,9,0.028768,0.00356,0.053129,0.022528,0.250902,0.107985
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,10,0.0264,0.00345,0.052356,0.024576,0.248684,0.106782
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,11,0.02752,0.003576,0.053723,0.023552,0.250636,0.108371
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,12,0.0264,0.003549,0.052902,0.023552,0.249032,0.106403
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,13,0.027616,0.003595,0.052528,0.022528,0.252279,0.106267
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,14,0.028032,0.00362,0.140664,0.0256,0.343739,0.197916
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,15,0.027296,0.003545,0.052369,0.023552,0.248369,0.106762
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,16,0.02624,0.003467,0.05246,0.022528,0.248477,0.104695
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,17,0.025472,0.003576,0.057285,0.022528,0.253688,0.108861
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,18,0.02608,0.003505,0.052798,0.023552,0.249451,0.105935
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",64,19,0.027456,0.003505,0.052293,0.021504,0.249096,0.104758
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,0,0.072512,0.004224,0.32465,0.142336,0.701846,0.543722
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,1,0.070784,0.004012,0.293547,0.136192,0.650493,0.504535
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,2,0.064736,0.003932,0.287817,0.134144,0.640816,0.490629
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,3,0.067552,0.003781,0.288961,0.132096,0.638288,0.49239
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,4,0.067776,0.003749,0.284771,0.135168,0.64502,0.491464
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,5,0.0696,0.00365,0.407608,0.134144,0.762568,0.615002
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,6,0.066048,0.003614,0.285358,0.132096,0.632418,0.487116
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,7,0.066048,0.003668,0.284845,0.132096,0.629366,0.486657
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,8,0.064416,0.003567,0.285387,0.131072,0.62935,0.484442
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,9,0.072576,0.003601,0.287902,0.132096,0.639717,0.496175
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,10,0.06752,0.003581,0.285147,0.13312,0.632152,0.489368
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,11,0.065984,0.003645,0.283025,0.132096,0.629503,0.48475
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,12,0.065728,0.003582,0.284838,0.132096,0.631246,0.486244
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,13,0.067552,0.003695,0.286818,0.134144,0.638476,0.492209
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,14,0.064832,0.003654,0.285616,0.135168,0.633465,0.48927
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,15,0.066272,0.003654,0.288574,0.134144,0.636585,0.492644
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,16,0.064352,0.003568,0.281465,0.13312,0.632625,0.482505
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,17,0.065568,0.00369,0.28512,0.134144,0.631398,0.488522
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,18,0.067264,0.003611,0.292436,0.13312,0.639625,0.496431
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,19,0.06688,0.003652,0.287798,0.13312,0.638377,0.49145
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,0,0.168192,0.004305,0.85994,0.444416,1.62189,1.47685
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,1,0.167712,0.004097,0.838518,0.438272,1.5947,1.4486
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,2,0.167744,0.004142,0.836464,0.438272,1.59353,1.44662
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,3,0.168928,0.004105,0.838216,0.44032,1.59554,1.45157
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,4,0.1608,0.004163,0.839581,0.436224,1.5887,1.44077
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,5,0.163648,0.004735,0.835957,0.437248,1.59333,1.44159
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,6,0.16608,0.004015,0.835622,0.4352,1.58864,1.44092
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,7,0.167936,0.004104,0.834784,0.44032,1.59303,1.44714
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,8,0.167296,0.004087,0.836728,0.442368,1.59664,1.45048
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,9,0.169728,0.004122,0.837208,0.4352,1.5939,1.44626
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,10,0.167424,0.004139,0.834867,0.436224,1.58886,1.44265
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,11,0.161088,0.004094,0.839722,0.437248,1.58851,1.44215
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,12,0.161792,0.004041,0.834625,0.4352,1.58373,1.43566
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,13,0.16976,0.00414,0.834745,0.439296,1.59417,1.44794
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,14,0.166048,0.004415,0.838561,0.4352,1.58977,1.44422
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,15,0.168736,0.004053,0.835284,0.441344,1.60266,1.44942
