dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,0.633632,0,0.097523,0.37376,1.20858,1.10492
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.749536,0,0.051547,0.017408,0.875354,0.818491
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.599424,0,0.044861,0.017408,0.713345,0.661693
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.595872,0,0.043418,0.016384,0.713804,0.655674
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.620512,0,0.043283,0.016384,0.735115,0.680179
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.605408,0,0.043591,0.016384,0.718864,0.665383
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.596544,0,0.043709,0.016384,0.709876,0.656637
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.592512,0,0.049627,0.016384,0.712255,0.658523
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.600032,0,0.042744,0.016384,0.712102,0.65916
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.602656,0,0.043779,0.016384,0.714826,0.662819
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.597856,0,0.04408,0.01536,0.72349,0.657296
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.591136,0,0.043106,0.017408,0.703007,0.65165
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.592384,0,0.050188,0.016384,0.711606,0.658956
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.59168,0,0.043375,0.016384,0.703167,0.651439
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.60608,0,0.043221,0.016384,0.718083,0.665685
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.605216,0,0.043023,0.016384,0.717093,0.664623
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.59568,0,0.043224,0.016384,0.707445,0.655288
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.593824,0,0.044048,0.022528,0.712625,0.6604
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,0.599456,0,0.042989,0.01536,0.711555,0.657805
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,0.806048,0,0.043238,0.017408,0.918854,0.866694
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,3.35533,0,0.215037,0.067584,3.70931,3.63795
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,3.45488,0,0.182054,0.067584,3.76358,3.70452
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,3.4489,0,0.185564,0.069632,3.762,3.70409
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,3.47581,0,0.185239,0.064512,3.79438,3.72556
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,3.42157,0,0.182769,0.063488,3.72626,3.66782
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,3.36397,0,0.180749,0.064512,3.66676,3.60923
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,3.42778,0,0.190244,0.063488,3.74013,3.68151
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,3.32973,0,0.182931,0.065536,3.63721,3.5782
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,3.34624,0,0.181497,0.062464,3.6495,3.5902
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,3.34214,0,0.184065,0.062464,3.64614,3.58867
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,3.352,0,0.182187,0.065536,3.6563,3.59972
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,3.39824,0,0.180342,0.063488,3.69987,3.64207
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,3.43814,0,0.181175,0.063488,3.74078,3.68281
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,3.42803,0,0.184744,0.07168,3.74165,3.68446
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,3.45811,0,0.188506,0.065536,3.76721,3.71215
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,3.35766,0,0.180747,0.064512,3.65948,3.60292
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,3.39635,0,0.183938,0.062464,3.70071,3.64275
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,3.32928,0,0.184008,0.063488,3.63727,3.57678
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,3.43309,0,0.18117,0.064512,3.73692,3.67877
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,3.44496,0,0.183334,0.064512,3.75079,3.69281
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,11.7708,0,0.621626,0.229376,12.7158,12.6218
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,12.0909,0,0.570698,0.22016,12.9635,12.8817
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,2,11.9159,0,0.580482,0.222208,12.7958,12.7186
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,3,11.7908,0,0.614789,0.2304,12.7118,12.636
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,4,11.9905,0,0.598154,0.228352,12.8939,12.817
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,5,12.0089,0,0.59847,0.233472,12.9197,12.8408
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,6,12.1358,0,0.616059,0.231424,13.0604,12.9833
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,7,12.0306,0,0.595638,0.232448,12.9333,12.8586
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,8,11.9812,0,0.594112,0.23552,12.8886,12.8109
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,9,11.8659,0,0.598896,0.232448,12.7722,12.6972
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,10,12.0007,0,0.594573,0.2304,12.9031,12.8256
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,11,11.9818,0,0.592215,0.232448,12.8808,12.8065
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,12,12.0444,0,0.601833,0.229376,12.9491,12.8756
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,13,12.0767,0,0.597507,0.233472,13.0519,12.9077
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,14,12.1598,0,0.594636,0.233472,13.0649,12.9879
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,15,11.8237,0,0.60239,0.2304,12.7323,12.6565
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,16,11.8834,0,0.594627,0.2304,12.7844,12.7084
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,17,12.0192,0,0.594035,0.2304,12.9201,12.8436
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,18,11.9272,0,0.595066,0.232448,12.8318,12.7547
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,19,11.8524,0,0.595015,0.229376,12.7508,12.6768
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,0,28.2405,0,1.56862,0.540672,30.448,30.3498
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,1,28.2248,0,1.50116,0.526336,30.3438,30.2523
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,2,27.9799,0,1.50561,0.53248,30.0979,30.018
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,3,27.8103,0,1.50086,0.531456,29.9202,29.8426
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,4,28.2841,0,1.50371,0.534528,30.3999,30.3224
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,5,28.4229,0,1.50303,0.528384,30.5342,30.4544
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,6,28.5129,0,1.50757,0.53248,30.6302,30.5529
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,7,28.5375,0,1.50883,0.526336,30.6542,30.5726
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,8,28.5912,0,1.50817,0.530432,30.7087,30.6298
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,9,28.1908,0,1.49918,0.529408,30.2966,30.2194
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,10,28.4495,0,1.5026,0.534528,30.5646,30.4867
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,11,28.4515,0,1.50741,0.534528,30.5759,30.4934
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,12,28.8493,0,1.50833,0.529408,30.9853,30.8871
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,13,28.0191,0,1.5034,0.529408,30.1303,30.0519
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,14,28.5272,0,1.50341,0.53248,30.6431,30.5631
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,15,28.2954,0,1.50482,0.530432,30.4114,30.3306
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,16,28.2808,0,1.50535,0.52736,30.3898,30.3135
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,17,28.2965,0,1.51003,0.531456,30.4221,30.338
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,18,28.3091,0,1.50277,0.531456,30.4235,30.3433
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",256,19,28.3886,0,1.50644,0.529408,30.5045,30.4245
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,0,54.0106,0,4.59995,0.969728,59.6586,59.5803
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,1,53.9553,0,4.58452,0.968704,59.5866,59.5085
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,2,54.2614,0,4.57827,0.974848,59.8924,59.8145
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,3,53.6731,0,4.58088,0.971776,59.3028,59.2258
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,4,53.5357,0,4.57526,0.971776,59.1579,59.0828
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,5,54.625,0,4.58173,0.971776,60.2575,60.1785
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,6,54.4462,0,4.57524,0.975872,60.0777,59.9973
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,7,54.1126,0,4.57861,0.966656,59.7369,59.6578
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,8,54.339,0,4.5839,0.976896,59.9767,59.8998
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,9,54.7855,0,4.57933,0.970752,60.4131,60.3356
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,10,54.558,0,4.58342,0.974848,60.2026,60.1162
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,11,53.7029,0,4.57111,0.974848,59.3262,59.2488
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,12,54.2645,0,4.58263,0.9728,59.899,59.8199
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,13,54.1322,0,4.57965,0.970752,59.7628,59.6826
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,14,55.0837,0,4.57452,0.968704,60.715,60.6269
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",320,15,54.5637,0,4.60082,0.987136,60.2372,60.1517
