dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,0,0.647456,0.004163,0.110837,0.452608,1.33177,1.21506
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,1,0.697152,0.003902,0.064766,0.0256,0.865863,0.79142
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,2,0.616544,0.003712,0.058498,0.024576,0.773019,0.70333
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,3,0.621664,0.003732,0.056667,0.024576,0.775103,0.706639
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,4,0.7376,0.003646,0.055905,0.023552,0.889227,0.820703
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,5,0.733536,0.003624,0.056189,0.024576,0.886119,0.817925
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,6,0.616032,0.003653,0.056389,0.024576,0.768259,0.70065
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,7,0.624288,0.003663,0.055564,0.023552,0.777148,0.707067
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,8,0.625664,0.003722,0.055624,0.024576,0.777729,0.709586
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,9,0.622432,0.003602,0.055475,0.024576,0.773395,0.706085
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,10,0.62576,0.003729,0.055831,0.023552,0.778609,0.708872
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,11,0.628128,0.003689,0.055475,0.023552,0.781738,0.710844
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,12,0.715552,0.003793,0.055529,0.024576,0.86847,0.79945
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,13,0.617088,0.003649,0.055873,0.023552,0.769558,0.700162
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,14,0.613024,0.003535,0.055676,0.024576,0.773655,0.696811
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,15,0.608768,0.003621,0.055895,0.022528,0.761068,0.690812
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,16,0.614368,0.003584,0.057206,0.021504,0.767879,0.696662
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,17,0.610048,0.003578,0.055681,0.024576,0.770403,0.693883
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,18,0.608992,0.00365,0.061027,0.024576,0.766218,0.698245
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,19,0.609056,0.003674,0.063201,0.024576,0.767639,0.700507
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,0,3.2848,0.004361,0.296983,0.146432,3.83567,3.73258
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,1,3.39459,0.004154,0.245955,0.136192,3.85736,3.78089
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,2,3.43824,0.003956,0.243368,0.136192,3.89594,3.82176
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,3,3.4168,0.003885,0.244465,0.137216,3.8788,3.80237
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,4,3.45254,0.003745,0.246959,0.137216,3.91648,3.84046
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,5,3.48128,0.003809,0.243795,0.135168,3.93748,3.86405
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,6,3.42083,0.003922,0.243401,0.134144,3.87638,3.8023
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,7,3.41901,0.003774,0.241376,0.134144,3.87322,3.7983
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,8,3.35549,0.003827,0.244874,0.134144,3.88876,3.73833
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,9,3.36669,0.004048,0.242509,0.136192,3.82352,3.74944
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,10,3.42026,0.004047,0.243226,0.135168,3.87522,3.8027
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,11,3.45779,0.003871,0.244157,0.13312,3.91292,3.83894
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,12,3.39603,0.004046,0.241569,0.135168,3.84993,3.77681
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,13,3.43395,0.004303,0.254858,0.134144,3.90128,3.82726
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,14,3.344,0.004064,0.242052,0.135168,3.8029,3.72528
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,15,3.3895,0.004019,0.24221,0.134144,3.84251,3.76988
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,16,3.46765,0.003892,0.24237,0.135168,3.92362,3.84908
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,17,3.41376,0.004007,0.242817,0.135168,3.87048,3.79575
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,18,3.41248,0.003865,0.241023,0.136192,3.87206,3.79356
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,19,3.36643,0.003896,0.24278,0.134144,3.81965,3.74725
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,0,11.827,0.004317,0.776013,0.453632,13.1597,13.061
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,1,11.9042,0.004789,0.749455,0.442368,13.2013,13.1008
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,2,11.9804,0.004244,0.743571,0.44032,13.261,13.1685
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,3,11.8508,0.004156,0.74682,0.44544,13.1397,13.0473
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,4,11.9934,0.004214,0.738587,0.444416,13.2726,13.1806
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,5,11.8537,0.004099,0.741346,0.449536,13.1386,13.0486
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,6,11.9485,0.004265,0.758769,0.447488,13.2512,13.159
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,7,12.1152,0.004275,0.741248,0.441344,13.3906,13.3021
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,8,12.0684,0.004613,0.744062,0.444416,13.3559,13.2614
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,9,12.0611,0.004193,0.741363,0.441344,13.338,13.248
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,10,12.0056,0.004163,0.748355,0.44544,13.2953,13.2035
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,11,12.0481,0.005011,0.744082,0.44544,13.3417,13.2427
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,12,12.0951,0.004187,0.745781,0.446464,13.3798,13.2915
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,13,12.0797,0.004331,0.74879,0.449536,13.3744,13.2824
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,14,12.1143,0.004616,0.74712,0.444416,13.401,13.3105
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,15,12.1498,0.004236,0.742226,0.444416,13.4347,13.3407
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,16,12.0119,0.004551,0.74025,0.443392,13.2934,13.2001
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,17,11.8875,0.008704,0.742906,0.446464,13.1762,13.0856
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,18,12.1133,0.004089,0.744928,0.44032,13.3931,13.3026
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,19,12.0336,0.004219,0.746738,0.443392,13.3193,13.228
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,0,28.5431,0.003901,1.88579,0.999424,31.5294,31.4322
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,1,28.2914,0.004254,1.83767,0.987136,31.21,31.1204
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,2,28.4472,0.004236,1.84634,0.987136,31.3814,31.2849
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,3,28.2726,0.004018,1.83705,0.991232,31.1993,31.1049
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,4,28.0272,0.0039,1.83923,0.991232,30.9527,30.8616
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,5,28.4589,0.003942,1.83906,0.996352,31.393,31.2983
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,6,28.2329,0.003984,1.84112,0.987136,31.1951,31.0651
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,7,28.1651,0.003963,1.84238,0.990208,31.095,31.0016
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,8,28.2568,0.003935,1.83657,0.991232,31.1812,31.0885
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,9,28.5577,0.004052,1.83673,0.990208,31.483,31.3887
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,10,28.1169,0.004067,1.83796,0.995328,31.0453,30.9543
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,11,28.518,0.003944,1.83992,0.996352,31.4509,31.3582
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,12,28.1864,0.004042,1.83976,0.991232,31.1151,31.0214
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,13,28.3838,0.0039,1.83814,0.984064,31.305,31.2099
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,14,28.0817,0.004053,1.83741,0.98816,31.0028,30.9113
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,15,28.1197,0.003324,1.8382,0.99328,31.0408,30.9546
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,16,28.3881,0.004518,1.84208,0.989184,31.3257,31.2239
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,17,28.4396,0.003972,1.83822,0.989184,31.3614,31.2709
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,18,28.4726,0.003926,1.83627,0.990208,31.3973,31.303
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",256,19,28.0049,0.003318,1.83942,0.99328,30.9292,30.8409
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,0,53.7033,0.003037,5.27448,1.9159,60.9849,60.8967
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,1,54.1432,0.003039,5.26776,1.90874,61.409,61.3227
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,2,54.2305,0.002994,5.26255,1.91795,61.4985,61.414
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,3,54.0142,0.006362,5.29827,1.92819,61.3538,61.247
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,4,54.1054,0.003321,5.27421,1.90771,61.3791,61.2907
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,5,54.1695,0.00301,5.25587,1.91078,61.4305,61.3392
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,6,53.6581,0.002928,5.25796,1.91181,60.9154,60.8308
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",320,7,54.4691,0.003005,5.26036,1.90976,61.7327,61.6422
