dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,0,0.620256,0.00381,0.115563,0.451584,1.30311,1.19121
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,1,0.73392,0.003638,0.063659,0.024576,0.897746,0.825793
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,2,0.616128,0.003366,0.057833,0.023552,0.770123,0.700879
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,3,0.58592,0.003439,0.055612,0.023552,0.734804,0.668523
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,4,0.575808,0.003387,0.056173,0.023552,0.724809,0.65892
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,5,0.586464,0.003623,0.056386,0.022528,0.742326,0.669001
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,6,0.577984,0.003389,0.056034,0.023552,0.726545,0.660959
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,7,0.579616,0.003531,0.056169,0.023552,0.730166,0.662868
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,8,0.588832,0.003505,0.055847,0.023552,0.73811,0.671736
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,9,0.579232,0.003475,0.055642,0.021504,0.729337,0.659853
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,10,0.606912,0.003414,0.05416,0.024576,0.755198,0.689062
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,11,0.674304,0.003451,0.054484,0.022528,0.822918,0.754767
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,12,0.584608,0.003467,0.055184,0.024576,0.733591,0.667835
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,13,0.57936,0.003371,0.055632,0.121856,0.826535,0.760219
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,14,0.579616,0.003362,0.057992,0.022528,0.73894,0.663498
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,15,0.586656,0.00348,0.054717,0.023552,0.734397,0.668405
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,16,0.580672,0.003499,0.055012,0.023552,0.729545,0.662735
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,17,0.578176,0.003327,0.055267,0.022528,0.725644,0.659298
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,18,0.579936,0.003442,0.054588,0.026624,0.731473,0.66459
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,19,0.589472,0.003537,0.053841,0.022528,0.735807,0.669378
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,0,3.25811,0.003847,0.309845,0.144384,3.80647,3.71619
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,1,3.36432,0.003734,0.267314,0.13312,3.8438,3.76849
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,2,3.44467,0.003536,0.266874,0.132096,3.91845,3.84718
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,3,3.37798,0.003528,0.26679,0.132096,3.85558,3.7804
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,4,3.31651,0.004153,0.268697,0.134144,3.80683,3.72351
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,5,3.3255,0.003613,0.266869,0.134144,3.80086,3.73013
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,6,3.36922,0.003603,0.271415,0.132096,3.84848,3.77633
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,7,3.38928,0.003518,0.265043,0.134144,3.86349,3.79199
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,8,3.37286,0.003555,0.272297,0.132096,3.85254,3.78081
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,9,3.37894,0.003492,0.270364,0.131072,3.85545,3.78387
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,10,3.30333,0.003633,0.268249,0.134144,3.78275,3.70935
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,11,3.31686,0.003513,0.265472,0.132096,3.79029,3.71795
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,12,3.29542,0.003525,0.266804,0.13312,3.7689,3.69887
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,13,3.38128,0.003536,0.266007,0.131072,3.85636,3.78189
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",128,14,3.28387,0.003518,0.271667,0.131072,3.76364,3.69013
